EVENT,Lat_EOP,Lng_EOP,h_EOP
1,14.517286107,101.018617714,4.206
2,14.517286076,101.018617647,4.216
3,14.516208461,101.023088662,203.488
4,14.516370214,101.022979976,203.430
5,14.516541174,101.022884530,203.464
6,14.516697498,101.022797464,203.632
7,14.516857320,101.022708256,203.738
8,14.517022050,101.022616083,203.761
9,14.517180059,101.022528037,203.789
10,14.517347279,101.022432135,203.838
11,14.517504312,101.022342547,203.902
12,14.517660720,101.022253618,203.970
13,14.517824352,101.022162599,204.051
14,14.517981033,101.022075266,204.166
15,14.518146319,101.021982376,204.279
16,14.518302618,101.021894797,204.390
17,14.518468150,101.021800653,204.425
18,14.518631022,101.021708852,204.528
19,14.518788276,101.021620705,204.615
20,14.518946148,101.021530836,204.640
21,14.519110915,101.021437779,204.713
22,14.519270450,101.021347925,204.817
23,14.519436396,101.021254660,204.914
24,14.519591961,101.021167301,205.005
25,14.519751530,101.021077097,205.051
26,14.519907328,101.020989092,205.096
27,14.520076127,101.020894363,205.197
28,14.520228535,101.020808165,205.279
29,14.520393641,101.020713568,205.361
30,14.520554903,101.020621958,205.413
31,14.520715785,101.020532187,205.437
32,14.520880744,101.020437771,205.571
33,14.521035102,101.020350984,205.686
34,14.521200092,101.020259061,205.924
35,14.521361798,101.020168719,206.070
36,14.521521814,101.020080136,206.179
37,14.521679594,101.019991921,206.219
38,14.521845757,101.019898724,206.303
39,14.521999714,101.019812274,206.430
40,14.522167969,101.019715266,206.433
41,14.522320933,101.019627967,206.500
42,14.522484379,101.019534284,206.575
43,14.522641445,101.019446496,206.736
44,14.522806622,101.019355569,206.787
45,14.522963207,101.019267839,206.821
46,14.523128598,101.019174568,206.956
47,14.523284569,101.019085554,207.022
48,14.523448219,101.018992496,207.057
49,14.523612271,101.018900107,207.139
50,14.523769493,101.018811481,207.184
51,14.523933885,101.018719081,207.274
52,14.524096917,101.018628230,207.390
53,14.524253961,101.018539748,207.467
54,14.524411152,101.018452355,207.727
55,14.524471406,101.018419631,207.740
56,14.524461523,101.018414643,207.573
57,14.524349172,101.018257785,207.052
58,14.524257513,101.018082955,206.533
59,14.524170613,101.017915782,206.123
60,14.524089121,101.017759912,205.801
61,14.524078933,101.017738755,205.803
62,14.524077771,101.017751961,205.779
63,14.523915605,101.017871333,205.587
64,14.523749565,101.017962936,205.553
65,14.523588698,101.018052603,205.569
66,14.523430477,101.018141246,205.588
67,14.523272063,101.018229784,205.529
68,14.523108815,101.018321902,205.544
69,14.522950789,101.018410862,205.482
70,14.522786386,101.018502318,205.460
71,14.522622268,101.018594273,205.416
72,14.522464476,101.018683157,205.385
73,14.522301120,101.018774830,205.353
74,14.522136874,101.018867800,205.330
75,14.521981458,101.018955818,205.330
76,14.521816491,101.019048205,205.307
77,14.521651979,101.019141294,205.298
78,14.521495605,101.019228811,205.270
79,14.521337981,101.019317626,205.231
80,14.521174907,101.019409360,205.224
81,14.521017578,101.019498146,205.207
82,14.520852528,101.019591050,205.171
83,14.520692376,101.019680971,205.119
84,14.520530622,101.019772712,205.137
85,14.520375084,101.019860699,205.052
86,14.520211553,101.019952464,205.022
87,14.520047349,101.020045154,204.984
88,14.519891033,101.020134208,204.965
89,14.519725825,101.020226823,204.910
90,14.519567849,101.020314382,204.861
91,14.519399564,101.020409213,204.879
92,14.519247823,101.020495348,204.887
93,14.519082833,101.020588418,204.884
94,14.518925561,101.020676387,204.881
95,14.518760791,101.020769383,204.881
96,14.518604988,101.020857180,204.805
97,14.518438797,101.020951143,204.779
98,14.518276284,101.021042640,204.710
99,14.518122294,101.021129810,204.637
100,14.517963204,101.021219363,204.702
101,14.517797877,101.021312294,204.666
