x,y,z,sx,sy,sz
717416.80,1606523.11,15.00,0.0611,0.0346,0.3551
717538.55,1605931.70,3.98,0.0221,0.0195,0.0753
717329.41,1606501.31,-6.11,0.0990,0.0375,0.3260
717445.60,1605916.26,3.55,0.0898,0.1539,0.5091
717544.43,1605991.82,9.32,0.4102,0.1418,1.0100
717533.10,1605995.75,14.33,0.4610,0.2231,1.3180
716798.30,1606200.27,-1.44,0.1292,0.0260,0.3489
717458.27,1605973.44,9.53,0.1290,0.0823,1.1427
716808.10,1606181.86,-0.45,0.1614,0.0653,0.5119
717464.68,1605900.38,7.96,0.0482,0.2099,0.5285
717455.04,1605963.24,11.88,0.0703,0.1595,0.4393
717440.83,1605956.88,2.76,0.0289,0.0825,0.2632
717671.21,1606273.84,17.09,0.0568,0.0500,0.1785
717623.91,1605576.66,14.28,0.2198,0.1473,0.7521
717511.83,1605982.19,12.31,0.0720,0.0324,0.2164
717501.28,1605952.94,4.01,0.0458,0.0298,0.1432
717664.28,1606287.74,15.38,0.1042,0.0668,0.3054
717542.78,1605914.98,4.51,0.0321,0.0790,0.2012
717469.69,1605941.75,8.49,0.0575,0.0825,0.2840
717012.90,1606040.40,4.10,0.0370,0.0192,0.1971
716789.78,1606175.78,-1.14,0.1890,0.0710,0.4596
716780.93,1606191.62,-0.73,0.2094,0.0410,0.4572
716797.75,1606189.17,-1.39,0.1340,0.0335,0.3593
717406.89,1606498.09,2.98,0.0846,0.1078,0.5310
717660.01,1605594.04,12.65,0.0270,0.0456,0.2034
717754.42,1606346.82,17.24,0.0535,0.0503,0.2081
717309.16,1606498.74,8.44,0.1293,0.0255,0.3100
717762.58,1606344.78,24.64,0.0484,0.0385,0.1576
717706.64,1606302.26,16.18,0.0628,0.0343,0.4570
717325.75,1606494.84,14.26,0.1404,0.0413,0.4216
717654.95,1606302.60,12.45,0.1568,0.0271,0.3846
717598.88,1605604.52,14.62,0.0374,0.0534,0.2651
717825.99,1605911.74,15.82,0.0325,0.0461,0.2388
717175.47,1605871.44,-0.26,0.0298,0.0276,0.1428
717105.51,1605852.75,-0.53,0.0351,0.0202,0.1089
717559.43,1606010.72,4.97,0.0618,0.0294,0.3212
717561.49,1605587.54,15.19,0.2867,0.0928,0.8238
717230.30,1605661.68,0.93,0.0107,0.0098,0.0462
717690.15,1606286.82,11.39,0.1081,0.0537,0.4936
717175.34,1605865.55,-0.50,0.0256,0.0230,0.1243
717232.31,1605659.63,0.92,0.0115,0.0107,0.0501
717478.81,1605979.50,10.26,0.1888,0.1025,0.6803
717667.02,1605616.20,8.70,0.0734,0.0685,0.2637
717769.82,1605674.98,9.56,0.1089,0.0594,0.6363
717563.98,1605774.08,1.52,0.6236,0.1522,1.4608
717357.75,1605807.29,8.25,0.0531,0.0179,0.2036
717401.12,1605698.11,1.18,0.0172,0.0173,0.0619
717349.30,1605797.64,8.03,0.1556,0.0697,0.7224
717320.54,1606507.56,-4.04,0.1275,0.0283,0.3863
717386.58,1605680.10,0.53,0.0072,0.0071,0.0223
717620.91,1605549.70,6.23,0.0248,0.0511,0.3500
717383.83,1605679.69,0.55,0.0055,0.0056,0.0177
717387.80,1605680.54,0.53,0.0067,0.0067,0.0208
717380.54,1605680.43,0.54,0.0070,0.0069,0.0222
717385.60,1605681.92,0.62,0.0067,0.0067,0.0207
717593.47,1606027.67,5.70,0.1154,0.0509,0.3054
717716.62,1606296.23,16.40,0.2143,0.0706,0.5310
717781.56,1605701.94,15.08,0.1653,0.0844,0.9736
717573.88,1606044.54,5.41,0.0742,0.0679,0.2707
717381.67,1605675.79,0.56,0.0060,0.0060,0.0191
717525.98,1605994.58,10.58,0.0312,0.0371,0.4352
717703.37,1605669.41,14.89,0.1776,0.1401,0.5612
717016.81,1606052.89,-0.52,0.0616,0.0201,0.2713
717391.84,1605683.52,0.75,0.0054,0.0053,0.0168
717883.75,1606117.70,15.35,0.1609,0.0586,0.6925
717710.57,1605672.18,10.55,0.0208,0.0184,0.0851
716923.08,1606085.77,12.55,0.0777,0.0454,0.2580
717388.33,1605691.48,0.79,0.0079,0.0077,0.0235
717812.90,1606137.22,17.42,0.1202,0.0968,0.5738
717665.62,1605574.92,14.69,0.0536,0.1610,0.4998
717377.92,1605803.01,13.92,0.1601,0.0616,0.4139
717366.35,1605831.63,4.89,0.2341,0.2173,0.7604
717360.45,1605792.07,9.99,0.1053,0.0424,0.4226
717162.95,1605797.20,-0.28,0.0343,0.0386,0.2134
717358.26,1605784.50,12.74,0.0136,0.0145,0.0997
717113.51,1605747.26,-0.70,0.1655,0.1911,0.7864
717172.84,1605837.47,0.16,0.1075,0.1733,0.6090
717286.73,1605712.77,3.83,0.0082,0.0083,0.0299
717313.71,1605725.70,1.59,0.0158,0.0154,0.0586
717618.37,1605585.43,12.77,0.0652,0.0534,0.2548
717135.94,1605858.46,-0.45,0.0419,0.0431,0.2914
717099.59,1605824.31,-0.58,0.0748,0.0420,0.2813
717149.37,1605790.39,0.30,0.0431,0.0746,0.3438
717135.30,1605770.46,-0.40,0.0296,0.0546,0.1771
717552.33,1606029.72,4.35,0.0399,0.0305,0.1245
717538.29,1605995.17,12.29,0.0342,0.0236,0.2159
717388.06,1605674.90,0.50,0.0079,0.0078,0.0246
717794.39,1605707.50,15.10,0.2386,0.0744,0.9777
717557.01,1605952.84,4.51,0.0390,0.0530,0.1809
717307.69,1606481.91,4.56,0.1383,0.0434,0.3282
717241.44,1606156.10,0.89,0.0188,0.0116,0.0629
717563.65,1605967.72,8.11,0.2091,0.1009,0.7487
717148.63,1606081.36,-0.54,0.0618,0.0219,0.1501
717557.49,1605962.56,11.92,0.0955,0.0720,0.6209
717085.88,1606016.99,-4.04,0.0870,0.1351,0.5021
717180.02,1605800.79,-0.87,0.0642,0.0233,0.2827
717117.22,1605752.01,2.63,0.1308,0.2360,0.8850
717302.64,1606508.97,11.23,0.1542,0.0315,0.3361
717509.40,1605933.67,4.44,0.0375,0.0375,0.1536
717531.89,1605937.62,4.21,0.0277,0.0760,0.3225
717537.54,1605975.39,9.50,0.0774,0.0773,1.0318
717593.36,1606055.75,6.78,0.0695,0.2277,0.6446
717073.65,1605798.11,-0.35,0.0854,0.0338,0.2508
717077.96,1605826.72,-0.89,0.0641,0.0310,0.2050
717107.85,1605829.13,-0.29,0.0389,0.0355,0.2207
717123.34,1605836.24,-0.55,0.0268,0.0392,0.2158
717308.11,1606512.19,9.75,0.7495,0.1485,1.7554
717523.54,1605905.72,7.20,0.0463,0.1630,0.3933
717428.37,1605888.75,9.63,0.2715,0.4108,1.4298
717549.46,1605997.55,6.81,0.1170,0.1586,1.2990
717319.45,1606464.98,17.05,0.1326,0.0826,0.3453
717310.32,1605787.39,19.91,0.0244,0.0181,0.0940
717396.40,1605887.29,2.64,0.0307,0.0715,0.2028
717668.02,1605628.33,18.69,0.0261,0.0514,0.4012
717178.70,1606104.23,9.43,0.0209,0.0161,0.0767
717428.54,1606559.82,2.58,0.1156,0.1334,0.4320
717416.90,1605880.53,2.32,0.0227,0.0186,0.0756
717248.31,1606074.54,11.03,0.0089,0.0084,0.0385
716901.22,1606074.98,0.16,0.2382,0.1031,0.6317
717326.99,1606490.43,15.50,0.0979,0.0337,0.2963
717635.56,1605564.43,14.19,0.1234,0.1535,0.5654
717424.39,1606549.25,1.56,0.0749,0.0793,0.3106
717643.75,1605585.41,15.45,0.0801,0.0756,0.4719
717070.33,1605815.49,-0.14,0.0705,0.0240,0.1994
717241.68,1606096.95,0.98,0.0089,0.0083,0.0375
717597.03,1606025.50,5.15,0.0392,0.0259,0.1531
717517.70,1605973.84,10.28,0.1722,0.1146,0.6510
717415.17,1606519.51,2.81,0.0254,0.0273,0.1763
717392.76,1606465.29,1.80,0.0254,0.0556,0.1657
717435.75,1606603.74,-2.86,0.1451,0.3038,0.7689
717433.10,1606590.27,1.68,0.0583,0.0937,0.2987
717635.46,1605604.71,21.08,0.1743,0.0544,0.7250
717342.93,1606444.42,15.25,0.1192,0.0880,0.3715
717416.33,1606525.07,12.87,0.2086,0.3912,1.5071
717239.35,1606096.46,0.32,0.0083,0.0087,0.0338
717624.45,1605571.57,15.83,0.5276,0.3781,1.7566
717656.43,1605635.78,18.37,0.0413,0.0619,0.3818
717650.88,1605590.38,14.23,0.1241,0.1015,0.8483
717808.85,1605700.86,16.95,0.2586,0.0752,0.7812
717812.19,1605936.80,22.43,0.0165,0.0154,0.0867
717545.35,1606131.10,13.61,0.1535,0.0986,0.5177
717306.27,1606486.55,4.61,0.2406,0.0606,0.5089
717325.55,1606445.58,2.82,0.0686,0.0508,0.1862
717103.82,1605801.60,-0.20,0.0446,0.0254,0.2308
717666.48,1606155.22,15.67,0.0989,0.0224,0.2277
717539.03,1606019.69,4.41,0.0468,0.0732,0.3266
717332.93,1606459.27,9.98,0.0681,0.0431,0.1984
717913.42,1606121.07,9.39,0.0513,0.0259,0.1420
717197.46,1605534.57,0.30,0.0679,0.0480,0.1811
717852.77,1606146.13,11.26,0.0550,0.0995,0.3653
717625.89,1605544.43,10.94,0.1271,0.0841,0.3424
717664.50,1605590.24,9.74,0.0602,0.0446,0.3476
717505.19,1605953.24,4.22,0.2601,0.2447,0.9293
717724.43,1605606.10,2.95,0.1332,0.0332,0.3485
717721.32,1605615.92,1.59,0.0750,0.0763,0.3714
717624.11,1605573.24,14.95,0.1468,0.0534,0.3825
717605.95,1605589.82,5.30,0.2037,0.0551,0.4534
717639.35,1605570.42,10.58,0.2316,0.0925,0.8127
717752.67,1606375.01,14.83,0.1603,0.1939,0.6263
717099.66,1605847.86,1.11,0.1209,0.0414,0.4337
717809.87,1605938.21,22.80,0.0455,0.0446,0.3522
717838.63,1606170.54,20.06,0.0407,0.1359,0.3859
717049.20,1605824.80,-0.51,0.0953,0.0298,0.2405
717064.29,1605810.40,-0.62,0.0727,0.0362,0.2296
717896.73,1606137.41,8.93,0.1139,0.0449,0.2886
717121.21,1605793.59,-0.04,0.0252,0.0509,0.2208
717756.33,1605915.41,14.16,0.0220,0.0134,0.0752
717357.15,1606445.55,11.30,0.2701,0.2840,1.1949
717313.10,1606477.27,8.18,0.1393,0.0228,0.2962
717073.70,1605837.89,-0.98,0.0312,0.0246,0.1106
717025.44,1605832.19,-0.54,0.0361,0.0256,0.0949
717476.10,1606394.68,12.71,0.0437,0.0311,0.3695
717753.82,1606312.42,19.07,0.0845,0.0338,0.3150
717721.01,1605586.32,-5.43,0.0583,0.0286,0.1793
