GCP label, GCP measured X, GCP measured Y, GCP measured Z, GCP estimated X, GCP estimated Y, GCP estimated Z, GCP weight, GCP visible in # images
LCP-01, 717418.55299999995622783899, 1605528.37700000009499490261, 1.15100000000000002309, 717418.53633252310100942850, 1605528.37910265405662357807, 1.14892443818645162423, 0.99999977045508881002, 10
LCP-02, 717552.56299999996554106474, 1605620.32599999988451600075, 2.30699999999999993960, 717552.55745408928487449884, 1605620.34129159944131970406, 2.29888079777088805145, 0.99999972413558591011, 10
LCP-03, 717697.04299999994691461325, 1605683.49500000011175870895, 1.48999999999999999112, 717697.04372944484930485487, 1605683.49660184979438781738, 1.49069980659976430992, 0.99999984156491616982, 10
LCP-04, 717830.91700000001583248377, 1605768.15999999991618096828, 3.43800000000000016698, 717830.89914593764115124941, 1605768.16297647450119256973, 3.42747896822320230470, 0.99999969942204625095, 10
LCP-05, 717960.24600000004284083843, 1605863.97399999992921948433, 4.09299999999999997158, 717960.24495214165654033422, 1605863.97650705301202833652, 4.09868701319536299366, 0.99999983015765192551, 10
LCP-06, 717365.07299999997485429049, 1605655.49099999992176890373, 0.88300000000000000711, 717365.07111674605403095484, 1605655.46026151697151362896, 0.88638264591609816634, 0.99999921423096638229, 10
LCP-07, 717476.27599999995436519384, 1605722.97600000002421438694, 2.76200000000000001066, 717476.26039357867557555437, 1605722.97169672395102679729, 2.73625969667081925252, 0.99999918085629924125, 10
LCP-08, 717599.83100000000558793545, 1605811.71299999998882412910, 3.64599999999999990763, 717599.82658929273020476103, 1605811.71216545347124338150, 3.64327888664351107195, 0.99999983591578189834, 10
LCP-09, 717757.88600000005681067705, 1605878.42100000008940696716, 6.72599999999999997868, 717757.88736061146482825279, 1605878.43088637990877032280, 6.73346834349997536151, 0.99999979256198578970, 10
LCP-10, 717899.99699999997392296791, 1605953.41599999996833503246, 8.63700000000000045475, 717899.99332478339783847332, 1605953.43738319072872400284, 8.63143772434778000502, 0.99999963408074110660, 10
LCP-11, 717283.17700000002514570951, 1605813.78399999998509883881, 2.20199999999999995737, 717283.16338178911246359348, 1605813.76948718680068850517, 2.20331470023535302971, 0.99999971401774989666, 10
LCP-12, 717389.86999999999534338713, 1605865.32199999992735683918, 3.34100000000000019185, 717389.86175931198522448540, 1605865.31887796754017472267, 3.32583487121942500409, 0.99999972529994307635, 10
LCP-13, 717514.39000000001396983862, 1605963.98099999991245567799, 4.58000000000000007105, 717514.40357250394299626350, 1605963.98993766237981617451, 4.57956913326817716126, 0.99999977124884553703, 10
LCP-14, 717677.67599999997764825821, 1606027.33499999996274709702, 8.78899999999999970157, 717677.67895657464396208525, 1606027.33201954583637416363, 8.79499256473632939901, 0.99999982650418672847, 10
LCP-15, 717803.26100000005681067705, 1606124.05300000007264316082, 11.18399999999999927525, 717803.26007212942931801081, 1606124.05027351272292435169, 11.18125318251835054184, 0.99999983797148905840, 10
LCP-16, 717190.75699999998323619366, 1605930.33599999989382922649, 0.85299999999999998046, 717190.74124407442286610603, 1605930.31418887013569474220, 0.85365303921138213639, 0.99999951783065355038, 10
LCP-17, 717335.72400000004563480616, 1606035.13599999994039535522, 1.05099999999999993427, 717335.73620740708429366350, 1606035.13771693734452128410, 1.04436091022715182852, 0.99999979055118670690, 10
LCP-18, 717458.67500000004656612873, 1606085.67500000004656612873, 1.98599999999999998757, 717458.62653871707152575254, 1606085.69921349803917109966, 1.97043820170045269613, 0.99998572747368941194, 10
LCP-19, 717551.84999999997671693563, 1606212.08100000000558793545, 5.14100000000000001421, 717551.85467605688609182835, 1606212.09679481270723044872, 5.14558529172693113196, 0.99999974370536137691, 10
LCP-21, 717071.04299999994691461325, 1606079.11400000005960464478, 0.09700000000000000289, 717071.03706087416503578424, 1606079.10282139829359948635, 0.08997253373566005408, 0.99999977609669998824, 10
LCP-22, 717231.35199999995529651642, 1606163.01900000008754432201, -0.66300000000000003375, 717231.37009530432987958193, 1606163.02150212111882865429, -0.66025665529746602189, 0.99999975285683229131, 10
LCP-23, 717531.82400000002235174179, 1605901.41599999996833503246, 4.50100000000000033396, 717531.83644774742424488068, 1605901.41804915363900363445, 4.48887546763827405272, 0.99999974109628564367, 10
LCP-24, 717477.92099999997299164534, 1606299.16800000006332993507, 4.17699999999999960210, 717477.93692975782323628664, 1606299.16385707259178161621, 4.16639097582847206525, 0.99999971887323879649, 10
LCP-25, 717604.70700000005308538675, 1606381.58100000000558793545, 3.71700000000000008171, 717604.70939266239292919636, 1606381.59304145653732120991, 3.71123380886773457377, 0.99999978413712631298, 10
LCP-26, 716985.73400000005494803190, 1606209.20800000010058283806, -0.28899999999999997913, 716985.73758951772470027208, 1606209.19711714843288064003, -0.29893390752990045556, 0.99999976299993909024, 10
LCP-27, 717136.30500000005122274160, 1606298.49600000004284083843, 0.42099999999999998535, 717136.31468004500493407249, 1606298.48972893483005464077, 0.42034901469547003572, 0.99999980986887215817, 10
LCP-28, 717298.73600000003352761269, 1606355.04300000006332993507, 2.17099999999999981881, 717298.74225388676859438419, 1606355.03749266895465552807, 2.17598015513653519903, 0.99999981697041284701, 10
LCP-29, 717400.03899999998975545168, 1606458.05199999990873038769, 4.29000000000000003553, 717400.04953723691869527102, 1606458.04110683593899011612, 4.27485662672611788082, 0.99999965188002770677, 10
LCP-30, 717523.85499999998137354851, 1606525.87700000009499490261, 5.90200000000000013500, 717523.86299895565025508404, 1606525.87512674042955040932, 5.90178304366122041813, 0.99999982783216434523, 10
LCP-32, 717382.11600000003818422556, 1606245.19800000009126961231, 0.63800000000000001155, 717382.11698438390158116817, 1606245.17411814583465456963, 0.62594512321681428091, 0.99999945544575408185, 10
GCP-01, 717170.19999999995343387127, 1606353.93100000009872019291, 0.38800000000000001155, 717170.21123567316681146622, 1606353.91990654566325247288, 0.38804055125790526404, 0.99999977203504630818, 10
GCP-02, 717428.90000000002328306437, 1606454.32000000006519258022, 3.45500000000000007105, 717428.89963047031778842211, 1606454.32188695250079035759, 3.46896770436107537705, 0.99999976752622798948, 10
