filename,bandname,wavelength,time,sunsensor_sun_angle_degree,sunsensor_nadir_angle_degree,sun_irradiance
S0004.JPG,Red,660,1388535410.000000,,,
S0004.JPG,Green,550.000000,1388535410.000000,,,
S0004.JPG,Blue,470.000000,1388535410.000000,,,
S0005.JPG,Red,660.000000,1388535411.000000,,,
S0005.JPG,Green,550.000000,1388535411.000000,,,
S0005.JPG,Blue,470.000000,1388535411.000000,,,
S0006.JPG,Red,660.000000,1388535412.000000,,,
S0006.JPG,Green,550.000000,1388535412.000000,,,
S0006.JPG,Blue,470.000000,1388535412.000000,,,
S0007.JPG,Red,660.000000,1388535413.000000,,,
S0007.JPG,Green,550.000000,1388535413.000000,,,
S0007.JPG,Blue,470.000000,1388535413.000000,,,
S0008.JPG,Red,660.000000,1388535414.000000,,,
S0008.JPG,Green,550.000000,1388535414.000000,,,
S0008.JPG,Blue,470.000000,1388535414.000000,,,
S0009.JPG,Red,660.000000,1388535415.000000,,,
S0009.JPG,Green,550.000000,1388535415.000000,,,
S0009.JPG,Blue,470.000000,1388535415.000000,,,
S0010.JPG,Red,660.000000,1388535416.000000,,,
S0010.JPG,Green,550.000000,1388535416.000000,,,
S0010.JPG,Blue,470.000000,1388535416.000000,,,
S0011.JPG,Red,660.000000,1388535417.000000,,,
S0011.JPG,Green,550.000000,1388535417.000000,,,
S0011.JPG,Blue,470.000000,1388535417.000000,,,
S0012.JPG,Red,660.000000,1388535418.000000,,,
S0012.JPG,Green,550.000000,1388535418.000000,,,
S0012.JPG,Blue,470.000000,1388535418.000000,,,
S0013.JPG,Red,660.000000,1388535419.000000,,,
S0013.JPG,Green,550.000000,1388535419.000000,,,
S0013.JPG,Blue,470.000000,1388535419.000000,,,
S0014.JPG,Red,660.000000,1388535420.000000,,,
S0014.JPG,Green,550.000000,1388535420.000000,,,
S0014.JPG,Blue,470.000000,1388535420.000000,,,
S0015.JPG,Red,660.000000,1388535421.000000,,,
S0015.JPG,Green,550.000000,1388535421.000000,,,
S0015.JPG,Blue,470.000000,1388535421.000000,,,
S0016.JPG,Red,660.000000,1388535422.000000,,,
S0016.JPG,Green,550.000000,1388535422.000000,,,
S0016.JPG,Blue,470.000000,1388535422.000000,,,
S0017.JPG,Red,660.000000,1388535423.000000,,,
S0017.JPG,Green,550.000000,1388535423.000000,,,
S0017.JPG,Blue,470.000000,1388535423.000000,,,
S0018.JPG,Red,660.000000,1388535424.000000,,,
S0018.JPG,Green,550.000000,1388535424.000000,,,
S0018.JPG,Blue,470.000000,1388535424.000000,,,
S0019.JPG,Red,660.000000,1388535425.000000,,,
S0019.JPG,Green,550.000000,1388535425.000000,,,
S0019.JPG,Blue,470.000000,1388535425.000000,,,
S0020.JPG,Red,660.000000,1388535426.000000,,,
S0020.JPG,Green,550.000000,1388535426.000000,,,
S0020.JPG,Blue,470.000000,1388535426.000000,,,
S0021.JPG,Red,660.000000,1388535427.000000,,,
S0021.JPG,Green,550.000000,1388535427.000000,,,
S0021.JPG,Blue,470.000000,1388535427.000000,,,
S0022.JPG,Red,660.000000,1388535428.000000,,,
S0022.JPG,Green,550.000000,1388535428.000000,,,
S0022.JPG,Blue,470.000000,1388535428.000000,,,
S0023.JPG,Red,660.000000,1388535429.000000,,,
S0023.JPG,Green,550.000000,1388535429.000000,,,
S0023.JPG,Blue,470.000000,1388535429.000000,,,
S0024.JPG,Red,660.000000,1388535430.000000,,,
S0024.JPG,Green,550.000000,1388535430.000000,,,
S0024.JPG,Blue,470.000000,1388535430.000000,,,
S0025.JPG,Red,660.000000,1388535431.000000,,,
S0025.JPG,Green,550.000000,1388535431.000000,,,
S0025.JPG,Blue,470.000000,1388535431.000000,,,
S0026.JPG,Red,660.000000,1388535432.000000,,,
S0026.JPG,Green,550.000000,1388535432.000000,,,
S0026.JPG,Blue,470.000000,1388535432.000000,,,
S0027.JPG,Red,660.000000,1388535433.000000,,,
S0027.JPG,Green,550.000000,1388535433.000000,,,
S0027.JPG,Blue,470.000000,1388535433.000000,,,
S0028.JPG,Red,660.000000,1388535434.000000,,,
S0028.JPG,Green,550.000000,1388535434.000000,,,
S0028.JPG,Blue,470.000000,1388535434.000000,,,
S0029.JPG,Red,660.000000,1388535435.000000,,,
S0029.JPG,Green,550.000000,1388535435.000000,,,
S0029.JPG,Blue,470.000000,1388535435.000000,,,
S0030.JPG,Red,660.000000,1388535436.000000,,,
S0030.JPG,Green,550.000000,1388535436.000000,,,
S0030.JPG,Blue,470.000000,1388535436.000000,,,
S0031.JPG,Red,660.000000,1388535437.000000,,,
S0031.JPG,Green,550.000000,1388535437.000000,,,
