CA502R_NADIR_28.0_6000x4000 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, 0.755832, 0.648307, -0.480264, 0.0106191, -0.0111887, -0.513168, -0.475882
0.755832, 1, 0.492615, -0.360955, 0.00461501, -0.0032466, -0.380262, -0.129832
0.648307, 0.492615, 1, -0.302972, 0.00178628, -0.00327787, -0.291235, -0.314896
-0.480264, -0.360955, -0.302972, 1, -0.854736, 0.808005, 0.235515, 0.239147
0.0106191, 0.00461501, 0.00178628, -0.854736, 1, -0.984064, 0.0158003, -0.0069551
-0.0111887, -0.0032466, -0.00327787, 0.808005, -0.984064, 1, -0.0203396, 0.00721411
-0.513168, -0.380262, -0.291235, 0.235515, 0.0158003, -0.0203396, 1, 0.257745
-0.475882, -0.129832, -0.314896, 0.239147, -0.0069551, 0.00721411, 0.257745, 1
