LCP-01, 717418.53633252310100942850, 1605528.37910265405662357807, 1.14892443818645162423
LCP-02, 717552.55745408928487449884, 1605620.34129159944131970406, 2.29888079777088805145
LCP-03, 717697.04372944484930485487, 1605683.49660184979438781738, 1.49069980659976430992
LCP-04, 717830.89914593764115124941, 1605768.16297647450119256973, 3.42747896822320230470
LCP-05, 717960.24495214165654033422, 1605863.97650705301202833652, 4.09868701319536299366
LCP-06, 717365.07111674605403095484, 1605655.46026151697151362896, 0.88638264591609816634
LCP-07, 717476.26039357867557555437, 1605722.97169672395102679729, 2.73625969667081925252
LCP-08, 717599.82658929273020476103, 1605811.71216545347124338150, 3.64327888664351107195
LCP-09, 717757.88736061146482825279, 1605878.43088637990877032280, 6.73346834349997536151
LCP-10, 717899.99332478339783847332, 1605953.43738319072872400284, 8.63143772434778000502
LCP-11, 717283.16338178911246359348, 1605813.76948718680068850517, 2.20331470023535302971
LCP-12, 717389.86175931198522448540, 1605865.31887796754017472267, 3.32583487121942500409
LCP-13, 717514.40357250394299626350, 1605963.98993766237981617451, 4.57956913326817716126
LCP-14, 717677.67895657464396208525, 1606027.33201954583637416363, 8.79499256473632939901
LCP-15, 717803.26007212942931801081, 1606124.05027351272292435169, 11.18125318251835054184
LCP-16, 717190.74124407442286610603, 1605930.31418887013569474220, 0.85365303921138213639
LCP-17, 717335.73620740708429366350, 1606035.13771693734452128410, 1.04436091022715182852
LCP-18, 717458.62653871707152575254, 1606085.69921349803917109966, 1.97043820170045269613
LCP-19, 717551.85467605688609182835, 1606212.09679481270723044872, 5.14558529172693113196
LCP-21, 717071.03706087416503578424, 1606079.10282139829359948635, 0.08997253373566005408
LCP-22, 717231.37009530432987958193, 1606163.02150212111882865429, -0.66025665529746602189
LCP-23, 717531.83644774742424488068, 1605901.41804915363900363445, 4.48887546763827405272
LCP-24, 717477.93692975782323628664, 1606299.16385707259178161621, 4.16639097582847206525
LCP-25, 717604.70939266239292919636, 1606381.59304145653732120991, 3.71123380886773457377
LCP-26, 716985.73758951772470027208, 1606209.19711714843288064003, -0.29893390752990045556
LCP-27, 717136.31468004500493407249, 1606298.48972893483005464077, 0.42034901469547003572
LCP-28, 717298.74225388676859438419, 1606355.03749266895465552807, 2.17598015513653519903
LCP-29, 717400.04953723691869527102, 1606458.04110683593899011612, 4.27485662672611788082
LCP-30, 717523.86299895565025508404, 1606525.87512674042955040932, 5.90178304366122041813
LCP-32, 717382.11698438390158116817, 1606245.17411814583465456963, 0.62594512321681428091
GCP-01, 717170.21123567316681146622, 1606353.91990654566325247288, 0.38804055125790526404
GCP-02, 717428.89963047031778842211, 1606454.32188695250079035759, 3.46896770436107537705
GCP-03, 717024.64028137119021266699, 1606151.52062114118598401546, -0.68711845882986022360
GCP-04, 717310.91608239710330963135, 1606333.90008634608238935471, 0.32782793729289450013
GCP-05, 717609.15961346100084483624, 1606432.60945953405462205410, 5.64880396522958960759
GCP-06, 717133.06869935686700046062, 1606132.55147225502878427505, -1.10195684427714990505
GCP-07, 717504.49334831826854497194, 1606286.27199345990084111691, 3.91744234227390908387
GCP-08, 717315.94647613435517996550, 1605940.26147086429409682751, 1.94814028007460304792
GCP-09, 717616.27722565596923232079, 1606070.66235591680742800236, 5.89705348866893519499
GCP-10, 717745.29020311916247010231, 1606169.41491730278357863426, 9.90339384235235975495
GCP-11, 717493.47593907790724188089, 1605857.20359057351015508175, 3.20049061844872495541
GCP-12, 717691.05979916499927639961, 1605967.69249368808232247829, 7.98825048480824850827
GCP-13, 717378.03871600935235619545, 1605705.04741075751371681690, 0.87129356606670871344
GCP-14, 717647.21135475393384695053, 1605821.91107158944942057133, 3.76437172045037993229
GCP-15, 717868.89258804835844784975, 1606008.47905606939457356930, 9.26369703747251094228
GCP-16, 717566.80295677634421736002, 1605642.52195584238506853580, 2.26133908085208856775
GCP-17, 717883.13129671057686209679, 1605742.65477675083093345165, 2.20689477751395513039
GCP-18, 717413.36777506838552653790, 1606197.65813000081107020378, 0.08437138909835217859
