DJI_20211224092312_0125.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, 0.00178795, -0.00105802, 0.0271164, -0.00184931, 0.0118406, 0.0037916
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00480154, 0.0122309, -0.150109, 0.00328208, -0.0120566, -0.00363907
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.00609632, -0.00108441, 0.0372155, 0.369549, -0.00787182, -0.0111923
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.00323437, 0.0158117, -0.0777836, -0.00375316, 0.396384, 0.0203317
0.0263934, -0.00133541, 0.0118569, -0.00768287, 0.00178795, -0.00480154, 0.00609632, -0.00323437, 1, -0.0226082, 0.0266017, -0.299939, -0.603689, -0.0517817
-0.0851037, 0.0160873, -0.0238332, 0.0217399, -0.00105802, 0.0122309, -0.00108441, 0.0158117, -0.0226082, 1, -0.0814072, 0.621656, -0.27203, 0.020149
0.996983, -0.121411, 0.242704, -0.271748, 0.0271164, -0.150109, 0.0372155, -0.0777836, 0.0266017, -0.0814072, 1, -0.000550266, -0.0310507, -0.00144891
-0.0136392, -0.00551035, 0.377009, 0.00542258, -0.00184931, 0.00328208, 0.369549, -0.00375316, -0.299939, 0.621656, -0.000550266, 1, -0.0105629, -0.306197
-0.0188987, 0.427268, -0.0138909, -0.00318272, 0.0118406, -0.0120566, -0.00787182, 0.396384, -0.603689, -0.27203, -0.0310507, -0.0105629, 1, -0.222378
0.00250207, 0.0230423, -0.00349976, -0.00516784, 0.0037916, -0.00363907, -0.0111923, 0.0203317, -0.0517817, 0.020149, -0.00144891, -0.306197, -0.222378, 1
DJI_20211224092316_0128.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0271296, -0.0853804, 0.997207, -0.010827, -0.0149732, 0.00336345
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.0024932, 0.0190832, -0.121424, -0.00284373, 0.441104, 0.0184389
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.0115698, -0.0252801, 0.242387, 0.390082, -0.0133897, -0.00233471
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00879546, 0.0212059, -0.272097, 0.00731566, -0.0041946, -0.00654915
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, 0.0026905, 0.000267748, 0.0274012, -0.00322601, 0.0116282, 0.00426783
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00571856, 0.0102731, -0.150404, 0.00313859, -0.0120578, -0.00368974
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.00529445, -0.0020113, 0.0371283, 0.38204, -0.00859985, -0.00968616
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.00443314, 0.0185745, -0.077742, 0.000797202, 0.409309, 0.0148815
0.0271296, -0.0024932, 0.0115698, -0.00879546, 0.0026905, -0.00571856, 0.00529445, -0.00443314, 1, -0.0229875, 0.0293153, -0.310642, -0.620736, -0.0305013
-0.0853804, 0.0190832, -0.0252801, 0.0212059, 0.000267748, 0.0102731, -0.0020113, 0.0185745, -0.0229875, 1, -0.0828516, 0.648143, -0.287242, 0.0309436
0.997207, -0.121424, 0.242387, -0.272097, 0.0274012, -0.150404, 0.0371283, -0.077742, 0.0293153, -0.0828516, 1, -0.00346887, -0.0271213, 0.00158225
-0.010827, -0.00284373, 0.390082, 0.00731566, -0.00322601, 0.00313859, 0.38204, 0.000797202, -0.310642, 0.648143, -0.00346887, 1, -0.0175772, -0.283363
-0.0149732, 0.441104, -0.0133897, -0.0041946, 0.0116282, -0.0120578, -0.00859985, 0.409309, -0.620736, -0.287242, -0.0271213, -0.0175772, 1, -0.187147
0.00336345, 0.0184389, -0.00233471, -0.00654915, 0.00426783, -0.00368974, -0.00968616, 0.0148815, -0.0305013, 0.0309436, 0.00158225, -0.283363, -0.187147, 1
DJI_20211224092318_0129.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0271419, -0.0859763, 0.997399, -0.00911978, -0.0123625, 0.00359434
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.00341731, 0.0175781, -0.121592, -0.00412309, 0.454895, 0.0183516
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.0121196, -0.0270642, 0.242202, 0.404486, -0.0128251, -4.57904e-05
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00685671, 0.0212763, -0.272411, 0.00535168, -0.00716269, -0.0038154
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, 0.000555516, -8.7897e-05, 0.0277565, -0.00162454, 0.0142216, 0.000895174
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00361353, 0.0110146, -0.150769, 0.00130912, -0.0149689, 5.93554e-05
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.0058451, -0.00218986, 0.036977, 0.396588, -0.00958419, -0.00684371
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.0061865, 0.0168245, -0.0776919, 0.000774707, 0.422671, 0.0145788
0.0271419, -0.00341731, 0.0121196, -0.00685671, 0.000555516, -0.00361353, 0.0058451, -0.0061865, 1, -0.0245377, 0.0310631, -0.319891, -0.637916, -0.0433652
