DJI_20211224092312_0125.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.0098579, -0.0159216, 0.242285, 0.47649, -0.0174184, 0.0203921
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00397587, 0.0262969, -0.271999, -0.0340031, 0.00760817, -0.00422627
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, -0.00228678, -0.0085291, 0.0270268, 0.00347455, 0.00294123, 0.00236891
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00013299, 0.0196454, -0.149928, -0.0192559, 0.00671673, -0.00194036
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.00643691, -0.00308042, 0.03708, 0.432781, -0.0071589, 0.0164367
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.00289608, 0.0186441, -0.0771802, -0.0121632, 0.480194, 0.0174155
0.0255239, -0.00649863, 0.0098579, -0.00397587, -0.00228678, -0.00013299, 0.00643691, -0.00289608, 1, -0.0417532, 0.0264085, 0.423797, 0.682736, 0.00692875
-0.0785186, 0.0157721, -0.0159216, 0.0262969, -0.0085291, 0.0196454, -0.00308042, 0.0186441, -0.0417532, 1, -0.0803509, -0.71107, 0.352377, 0.0130412
0.997961, -0.120249, 0.242285, -0.271999, 0.0270268, -0.149928, 0.03708, -0.0771802, 0.0264085, -0.0803509, 1, 0.128991, -0.0602521, 0.00752236
0.126726, -0.0139085, 0.47649, -0.0340031, 0.00347455, -0.0192559, 0.432781, -0.0121632, 0.423797, -0.71107, 0.128991, 1, 0.0213831, 0.114672
-0.059839, 0.517698, -0.0174184, 0.00760817, 0.00294123, 0.00671673, -0.0071589, 0.480194, 0.682736, 0.352377, -0.0602521, 0.0213831, 1, -0.0115419
0.00770086, 0.0144158, 0.0203921, -0.00422627, 0.00236891, -0.00194036, 0.0164367, 0.0174155, 0.00692875, 0.0130412, 0.00752236, 0.114672, -0.0115419, 1
DJI_20211224092519_0205.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0256792, -0.0800379, 0.997836, 0.127515, -0.0620654, 0.0054913
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.00830341, 0.0138961, -0.120539, -0.0138308, 0.511298, 0.00670943
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.0108488, -0.0166914, 0.242363, 0.473515, -0.0165348, 0.0122123
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00899487, 0.0166111, -0.272499, -0.0286405, -0.000216261, -0.00572042
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, 0.0038826, 0.00387331, 0.0277749, -0.00349434, 0.0136061, 0.0050314
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00702294, 0.0060987, -0.150847, -0.0116083, -0.00500105, -0.00463373
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.00756614, -0.000854566, 0.0373149, 0.427868, -0.00457401, 0.00810524
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.0054288, 0.0160292, -0.077412, -0.0119388, 0.473481, 0.0105689
0.0256792, -0.00830341, 0.0108488, -0.00899487, 0.0038826, -0.00702294, 0.00756614, -0.0054288, 1, -0.0356311, 0.0251914, 0.417637, 0.683264, -0.00550678
-0.0800379, 0.0138961, -0.0166914, 0.0166111, 0.00387331, 0.0060987, -0.000854566, 0.0160292, -0.0356311, 1, -0.0803664, -0.716366, 0.364199, 0.00647027
0.997836, -0.120539, 0.242363, -0.272499, 0.0277749, -0.150847, 0.0373149, -0.077412, 0.0251914, -0.0803664, 1, 0.12737, -0.0633418, 0.00530389
0.127515, -0.0138308, 0.473515, -0.0286405, -0.00349434, -0.0116083, 0.427868, -0.0119388, 0.417637, -0.716366, 0.12737, 1, 0.00950122, 0.0966926
-0.0620654, 0.511298, -0.0165348, -0.000216261, 0.0136061, -0.00500105, -0.00457401, 0.473481, 0.683264, 0.364199, -0.0633418, 0.00950122, 1, -0.00915244
0.0054913, 0.00670943, 0.0122123, -0.00572042, 0.0050314, -0.00463373, 0.00810524, 0.0105689, -0.00550678, 0.00647027, 0.00530389, 0.0966926, -0.00915244, 1
DJI_20211224092520_0206.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0226735, -0.0806387, 0.997978, 0.120504, -0.0666137, 0.00215
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.0083228, 0.0116424, -0.120792, -0.0126153, 0.516277, 0.00626936
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.00841794, -0.017698, 0.242599, 0.474807, -0.0201415, 0.00359717
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.0075161, 0.0188557, -0.272574, -0.0279058, 0.00175391, -0.0015917
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, 0.00331962, 0.00185056, 0.0278141, -0.0024186, 0.0131553, 0.00242619
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00649141, 0.00785598, -0.15089, -0.0118406, -0.00451173, -0.00256797
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.00814404, -0.00125927, 0.0375055, 0.431338, -0.00456578, 0.000589901
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.00452609, 0.0132088, -0.0777344, -0.00988074, 0.478766, 0.00835796
0.0226735, -0.0083228, 0.00841794, -0.0075161, 0.00331962, -0.00649141, 0.00814404, -0.00452609, 1, -0.0245381, 0.0235894, 0.393181, 0.671967, 0.00165653
-0.0806387, 0.0116424, -0.017698, 0.0188557, 0.00185056, 0.00785598, -0.00125927, 0.0132088, -0.0245381, 1, -0.0806297, -0.726225, 0.389558, 0.0227333
0.997978, -0.120792, 0.242599, -0.272574, 0.0278141, -0.15089, 0.0375055, -0.0777344, 0.0235894, -0.0806297, 1, 0.121545, -0.0660435, 0.00322751
0.120504, -0.0126153, 0.474807, -0.0279058, -0.0024186, -0.0118406, 0.431338, -0.00988074, 0.393181, -0.726225, 0.121545, 1, -0.0319123, 0.0959087
-0.0666137, 0.516277, -0.0201415, 0.00175391, 0.0131553, -0.00451173, -0.00456578, 0.478766, 0.671967, 0.389558, -0.0660435, -0.0319123, 1, -0.00619213
0.00215, 0.00626936, 0.00359717, -0.0015917, 0.00242619, -0.00256797, 0.000589901, 0.00835796, 0.00165653, 0.0227333, 0.00322751, 0.0959087, -0.00619213, 1
DJI_20211224092521_0207.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0229582, -0.0817192, 0.997923, 0.114392, -0.0668609, -0.00254159
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.00705365, 0.0132584, -0.120701, -0.0130737, 0.518296, 0.00436198
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.00812171, -0.0192511, 0.242551, 0.469691, -0.0208943, 0.00109231
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00681159, 0.0198931, -0.272776, -0.0266961, 0.00164817, -3.89735e-05
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, 0.00198129, 0.000717608, 0.0279951, -0.00180979, 0.0127852, 0.00231609
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00465985, 0.0094314, -0.151038, -0.0119592, -0.00339481, -0.00241757
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.00735075, -0.00187896, 0.0375045, 0.426493, -0.00513986, 0.000138819
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.00393418, 0.0145708, -0.0776989, -0.0107356, 0.480049, 0.00599457
0.0229582, -0.00705365, 0.00812171, -0.00681159, 0.00198129, -0.00465985, 0.00735075, -0.00393418, 1, -0.0265558, 0.0231497, 0.392669, 0.670555, 0.00236675
-0.0817192, 0.0132584, -0.0192511, 0.0198931, 0.000717608, 0.0094314, -0.00187896, 0.0145708, -0.0265558, 1, -0.0814051, -0.731498, 0.392582, 0.0271916
0.997923, -0.120701, 0.242551, -0.272776, 0.0279951, -0.151038, 0.0375045, -0.0776989, 0.0231497, -0.0814051, 1, 0.115126, -0.0661239, -0.00130164
0.114392, -0.0130737, 0.469691, -0.0266961, -0.00180979, -0.0119592, 0.426493, -0.0107356, 0.392669, -0.731498, 0.115126, 1, -0.0376617, 0.103413
-0.0668609, 0.518296, -0.0208943, 0.00164817, 0.0127852, -0.00339481, -0.00513986, 0.480049, 0.670555, 0.392582, -0.0661239, -0.0376617, 1, -0.00705072
-0.00254159, 0.00436198, 0.00109231, -3.89735e-05, 0.00231609, -0.00241757, 0.000138819, 0.00599457, 0.00236675, 0.0271916, -0.00130164, 0.103413, -0.00705072, 1
DJI_20211224092523_0208.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0224795, -0.0807588, 0.998025, 0.109364, -0.0676872, -0.00768576
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.00734552, 0.0130031, -0.120458, -0.0127876, 0.522875, 0.00385221
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.00790224, -0.0178194, 0.242324, 0.473142, -0.0203525, -0.00357662
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00419369, 0.0198717, -0.272754, -0.0240607, 0.00312097, -0.00182792
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, -0.000689538, 0.000148837, 0.0279358, -0.00277977, 0.01135, 0.00554565
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00195053, 0.0102701, -0.150954, -0.0109283, -0.00162884, -0.00516168
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.0079808, -0.00203636, 0.0373412, 0.432475, -0.00468247, -0.00248261
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.00385514, 0.0145134, -0.0775513, -0.0106554, 0.484853, 0.00613548
0.0224795, -0.00734552, 0.00790224, -0.00419369, -0.000689538, -0.00195053, 0.0079808, -0.00385514, 1, -0.0247553, 0.0226646, 0.392146, 0.669487, -0.0170024
-0.0807588, 0.0130031, -0.0178194, 0.0198717, 0.000148837, 0.0102701, -0.00203636, 0.0145134, -0.0247553, 1, -0.078389, -0.729208, 0.395168, 0.0230076
0.998025, -0.120458, 0.242324, -0.272754, 0.0279358, -0.150954, 0.0373412, -0.0775513, 0.0226646, -0.078389, 1, 0.10756, -0.0651676, -0.0055089
0.109364, -0.0127876, 0.473142, -0.0240607, -0.00277977, -0.0109283, 0.432475, -0.0106554, 0.392146, -0.729208, 0.10756, 1, -0.0383287, 0.105417
-0.0676872, 0.522875, -0.0203525, 0.00312097, 0.01135, -0.00162884, -0.00468247, 0.484853, 0.669487, 0.395168, -0.0651676, -0.0383287, 1, -0.0044438
-0.00768576, 0.00385221, -0.00357662, -0.00182792, 0.00554565, -0.00516168, -0.00248261, 0.00613548, -0.0170024, 0.0230076, -0.0055089, 0.105417, -0.0044438, 1
DJI_20211224092524_0209.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0243718, -0.0814663, 0.99797, 0.103856, -0.0667263, -0.0138919
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.0063466, 0.013761, -0.120135, -0.011657, 0.519609, 0.00662628
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.00865631, -0.017406, 0.242425, 0.470377, -0.0183158, -0.00971188
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.0050735, 0.0202127, -0.272366, -0.023933, 0.00433893, -0.00381724
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, -0.00122268, 0.000229232, 0.027483, -0.00224048, 0.00937017, 0.00869959
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.000903956, 0.0100472, -0.150451, -0.0102337, 0.000602377, -0.00725247
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.00744327, -0.00130746, 0.0373616, 0.430731, -0.00413828, -0.0060927
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.00309397, 0.0156013, -0.0772327, -0.0104491, 0.481758, 0.0077178
0.0243718, -0.0063466, 0.00865631, -0.0050735, -0.00122268, -0.000903956, 0.00744327, -0.00309397, 1, -0.0259114, 0.0270829, 0.40507, 0.682434, -0.00841394
-0.0814663, 0.013761, -0.017406, 0.0202127, 0.000229232, 0.0100472, -0.00130746, 0.0156013, -0.0259114, 1, -0.0792732, -0.724791, 0.38358, 0.0302842
0.99797, -0.120135, 0.242425, -0.272366, 0.027483, -0.150451, 0.0373616, -0.0772327, 0.0270829, -0.0792732, 1, 0.103329, -0.061517, -0.012526
0.103856, -0.011657, 0.470377, -0.023933, -0.00224048, -0.0102337, 0.430731, -0.0104491, 0.40507, -0.724791, 0.103329, 1, -0.0140355, 0.113678
-0.0667263, 0.519609, -0.0183158, 0.00433893, 0.00937017, 0.000602377, -0.00413828, 0.481758, 0.682434, 0.38358, -0.061517, -0.0140355, 1, -0.00233347
-0.0138919, 0.00662628, -0.00971188, -0.00381724, 0.00869959, -0.00725247, -0.0060927, 0.0077178, -0.00841394, 0.0302842, -0.012526, 0.113678, -0.00233347, 1
DJI_20211224092526_0210.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0253082, -0.0821896, 0.997972, 0.102456, -0.067074, -0.0194085
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.00673385, 0.0131337, -0.120574, -0.0116859, 0.518634, 0.0051628
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.00894858, -0.0177858, 0.242606, 0.474523, -0.0181026, -0.0248033
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00643981, 0.0190716, -0.272458, -0.0210485, 0.00257539, 0.000978137
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, 0.000645438, 0.00203032, 0.0275771, -0.00482242, 0.0122121, 0.00489604
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00378548, 0.00784663, -0.150513, -0.00769604, -0.00324936, -0.00291235
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.00743143, -0.00219447, 0.0374925, 0.435949, -0.00456758, -0.019307
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.00237487, 0.0155765, -0.0778896, -0.0104841, 0.481803, 0.00447889
0.0253082, -0.00673385, 0.00894858, -0.00643981, 0.000645438, -0.00378548, 0.00743143, -0.00237487, 1, -0.0244296, 0.0322799, 0.406487, 0.686502, -0.022481
-0.0821896, 0.0131337, -0.0177858, 0.0190716, 0.00203032, 0.00784663, -0.00219447, 0.0155765, -0.0244296, 1, -0.0786332, -0.721294, 0.379858, 0.053691
0.997972, -0.120574, 0.242606, -0.272458, 0.0275771, -0.150513, 0.0374925, -0.0778896, 0.0322799, -0.0786332, 1, 0.102871, -0.0568767, -0.018315
0.102456, -0.0116859, 0.474523, -0.0210485, -0.00482242, -0.00769604, 0.435949, -0.0104841, 0.406487, -0.721294, 0.102871, 1, -0.0070355, 0.0996334
-0.067074, 0.518634, -0.0181026, 0.00257539, 0.0122121, -0.00324936, -0.00456758, 0.481803, 0.686502, 0.379858, -0.0568767, -0.0070355, 1, -0.00445695
-0.0194085, 0.0051628, -0.0248033, 0.000978137, 0.00489604, -0.00291235, -0.019307, 0.00447889, -0.022481, 0.053691, -0.018315, 0.0996334, -0.00445695, 1
DJI_20211224092527_0211.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0265077, -0.0827272, 0.997803, 0.100841, -0.0685859, -0.020775
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.00810075, 0.0141146, -0.120582, -0.0132534, 0.514797, -7.02103e-05
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.00935593, -0.0188282, 0.242421, 0.468356, -0.0188777, -0.0169562
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.0061815, 0.0212207, -0.272238, -0.022126, 0.00306086, 0.00112614
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, -0.000105332, -0.000694086, 0.0274752, -0.00261614, 0.0116939, 0.00515542
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00268415, 0.011175, -0.150479, -0.0100918, -0.00174935, -0.00315839
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.00642805, -0.00202818, 0.0375151, 0.428911, -0.00545533, -0.0115498
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.00553432, 0.0165247, -0.077767, -0.0128913, 0.476723, -0.000539643
0.0265077, -0.00810075, 0.00935593, -0.0061815, -0.000105332, -0.00268415, 0.00642805, -0.00553432, 1, -0.0243312, 0.0295879, 0.411257, 0.689552, -0.0197467
-0.0827272, 0.0141146, -0.0188282, 0.0212207, -0.000694086, 0.011175, -0.00202818, 0.0165247, -0.0243312, 1, -0.0795113, -0.724019, 0.3787, 0.0310051
0.997803, -0.120582, 0.242421, -0.272238, 0.0274752, -0.150479, 0.0375151, -0.077767, 0.0295879, -0.0795113, 1, 0.0991756, -0.0619363, -0.0201429
0.100841, -0.0132534, 0.468356, -0.022126, -0.00261614, -0.0100918, 0.428911, -0.0128913, 0.411257, -0.724019, 0.0991756, 1, -0.00235096, 0.102487
-0.0685859, 0.514797, -0.0188777, 0.00306086, 0.0116939, -0.00174935, -0.00545533, 0.476723, 0.689552, 0.3787, -0.0619363, -0.00235096, 1, -0.00104692
-0.020775, -7.02103e-05, -0.0169562, 0.00112614, 0.00515542, -0.00315839, -0.0115498, -0.000539643, -0.0197467, 0.0310051, -0.0201429, 0.102487, -0.00104692, 1
DJI_20211224092529_0212.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0262675, -0.0831949, 0.997913, 0.101041, -0.0684257, -0.02411
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.00808039, 0.0144509, -0.120425, -0.0133342, 0.519474, -0.0016525
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.00930531, -0.0186212, 0.242469, 0.470358, -0.0190992, -0.0127805
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00768861, 0.0221621, -0.272544, -0.0246693, 0.000904071, 0.00138112
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, 0.00200075, -0.00153461, 0.0277183, 0.000358682, 0.0144297, 0.00594948
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00487888, 0.01199, -0.150686, -0.0131465, -0.00465033, -0.0037733
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.00616473, -0.00282456, 0.0374982, 0.431999, -0.00642318, -0.00667343
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.0058656, 0.0175132, -0.0774632, -0.0133008, 0.481381, -0.00221998
0.0262675, -0.00808039, 0.00930531, -0.00768861, 0.00200075, -0.00487888, 0.00616473, -0.0058656, 1, -0.0300142, 0.0284997, 0.417336, 0.689197, -0.00238578
-0.0831949, 0.0144509, -0.0186212, 0.0221621, -0.00153461, 0.01199, -0.00282456, 0.0175132, -0.0300142, 1, -0.0809304, -0.722234, 0.372136, 0.0321733
0.997913, -0.120425, 0.242469, -0.272544, 0.0277183, -0.150686, 0.0374982, -0.0774632, 0.0284997, -0.0809304, 1, 0.100413, -0.0634245, -0.0230727
0.101041, -0.0133342, 0.470358, -0.0246693, 0.000358682, -0.0131465, 0.431999, -0.0133008, 0.417336, -0.722234, 0.100413, 1, 0.00565251, 0.0998567
-0.0684257, 0.519474, -0.0190992, 0.000904071, 0.0144297, -0.00465033, -0.00642318, 0.481381, 0.689197, 0.372136, -0.0634245, 0.00565251, 1, 0.00309615
-0.02411, -0.0016525, -0.0127805, 0.00138112, 0.00594948, -0.0037733, -0.00667343, -0.00221998, -0.00238578, 0.0321733, -0.0230727, 0.0998567, 0.00309615, 1
DJI_20211224092530_0213.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0267479, -0.0829996, 0.99792, 0.101081, -0.0692859, -0.0253074
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.00819363, 0.0128593, -0.12058, -0.0124705, 0.51918, 0.00181791
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.0106304, -0.0175467, 0.242404, 0.470041, -0.0182712, -0.0105126
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00774413, 0.0216046, -0.272514, -0.0222839, 0.00180297, -0.00174001
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, 0.00185405, -0.000793003, 0.0277681, -0.002142, 0.0139651, 0.00949873
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00489413, 0.0113121, -0.15079, -0.011035, -0.00435455, -0.00700325
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.00751639, -0.00134942, 0.0373372, 0.431524, -0.00511149, -0.00421517
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.00498245, 0.0155309, -0.0774603, -0.0112045, 0.481686, 0.00215597
0.0267479, -0.00819363, 0.0106304, -0.00774413, 0.00185405, -0.00489413, 0.00751639, -0.00498245, 1, -0.0311994, 0.0290046, 0.415178, 0.688318, 0.00312189
-0.0829996, 0.0128593, -0.0175467, 0.0216046, -0.000793003, 0.0113121, -0.00134942, 0.0155309, -0.0311994, 1, -0.0824682, -0.725612, 0.37338, 0.0329332
0.99792, -0.12058, 0.242404, -0.272514, 0.0277681, -0.15079, 0.0373372, -0.0774603, 0.0290046, -0.0824682, 1, 0.102203, -0.0654429, -0.0245228
0.101081, -0.0124705, 0.470041, -0.0222839, -0.002142, -0.011035, 0.431524, -0.0112045, 0.415178, -0.725612, 0.102203, 1, 0.0010681, 0.0900438
-0.0692859, 0.51918, -0.0182712, 0.00180297, 0.0139651, -0.00435455, -0.00511149, 0.481686, 0.688318, 0.37338, -0.0654429, 0.0010681, 1, -0.000645338
-0.0253074, 0.00181791, -0.0105126, -0.00174001, 0.00949873, -0.00700325, -0.00421517, 0.00215597, 0.00312189, 0.0329332, -0.0245228, 0.0900438, -0.000645338, 1
DJI_20211224092532_0214.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0269472, -0.0836915, 0.997902, 0.0996483, -0.0704477, -0.0251157
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.00757214, 0.0148344, -0.120653, -0.0139232, 0.519793, -0.00930117
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.0108234, -0.0180847, 0.242408, 0.469433, -0.0177956, -0.00649793
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00640596, 0.0225085, -0.272293, -0.0211813, 0.00399801, -0.00142599
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, 7.04773e-05, -0.0015143, 0.0274599, -0.00298633, 0.0118485, 0.00897891
