imageName longitude latitude altitude Omega Phi Kappa
DJI_20211224092312_0125.JPG 101.01711344 14.51337744 154.31987765 -0.03377555 -0.17427220 24.99246403
DJI_20211224092313_0126.JPG 101.01703150 14.51353382 154.33948210 -0.04029753 -0.11570122 24.99942309
DJI_20211224092315_0127.JPG 101.01694315 14.51370226 154.37284616 -0.04868753 -0.06809843 25.00557339
DJI_20211224092316_0128.JPG 101.01685462 14.51387056 154.39642577 -0.05987106 -0.04309679 24.99962793
DJI_20211224092318_0129.JPG 101.01677194 14.51402731 154.40939381 -0.07649624 -0.03260833 25.00423705
DJI_20211224092319_0130.JPG 101.01668262 14.51419719 154.42597740 -0.08961666 -0.03042020 25.01128661
DJI_20211224092321_0131.JPG 101.01659410 14.51436586 154.42840049 -0.10015596 -0.02091783 25.04015892
DJI_20211224092322_0132.JPG 101.01650575 14.51453455 154.43115622 -0.08308393 -0.01611430 25.08978577
DJI_20211224092324_0133.JPG 101.01642360 14.51469096 154.43517693 -0.08558735 -0.02057975 25.11250055
DJI_20211224092325_0134.JPG 101.01633528 14.51485905 154.42418812 -0.07741666 -0.03112225 25.12194335
DJI_20211224092327_0135.JPG 101.01624784 14.51502468 154.36650196 -0.09197838 -0.04762726 25.16619773
DJI_20211224092328_0136.JPG 101.01616432 14.51518347 154.37512111 -0.08500464 -0.06173381 25.18734798
DJI_20211224092330_0137.JPG 101.01607669 14.51534931 154.38662900 -0.08733654 -0.07092738 25.19732652
DJI_20211224092331_0138.JPG 101.01598689 14.51551965 154.34513146 -0.07973555 -0.07863594 25.18716822
DJI_20211224092333_0139.JPG 101.01589955 14.51568650 154.33232735 -0.08782303 -0.08650115 25.17545340
DJI_20211224092334_0140.JPG 101.01581738 14.51584281 154.33287143 -0.09793650 -0.10498971 25.15866937
DJI_20211224092336_0141.JPG 101.01572889 14.51601042 154.35471312 -0.09961743 -0.11581803 25.16004996
DJI_20211224092337_0142.JPG 101.01563935 14.51618036 154.36881596 -0.10442118 -0.12297026 25.16063254
DJI_20211224092339_0143.JPG 101.01555167 14.51634706 154.36937075 -0.06626561 -0.10798678 25.16720421
DJI_20211224092340_0144.JPG 101.01546817 14.51650562 154.35605121 -0.05425448 -0.10435328 25.17062117
DJI_20211224092341_0145.JPG 101.01537980 14.51667355 154.34976477 -0.04579376 -0.10694893 25.15878751
DJI_20211224092343_0146.JPG 101.01529130 14.51684217 154.36186867 -0.05123804 -0.10226021 25.15717196
DJI_20211224092344_0147.JPG 101.01520307 14.51701004 154.35007668 -0.05181840 -0.11105725 25.16932331
DJI_20211224092346_0148.JPG 101.01512019 14.51716669 154.35060815 -0.04543295 -0.11889957 25.19854565
DJI_20211224092347_0149.JPG 101.01502789 14.51734154 154.35615126 -0.05226434 -0.11082867 25.21336552
DJI_20211224092349_0150.JPG 101.01494250 14.51750382 154.34511868 -0.05678786 -0.11427534 25.20337486
DJI_20211224092350_0151.JPG 101.01485432 14.51767182 154.35886810 -0.06775076 -0.11754369 25.18208350
DJI_20211224092352_0152.JPG 101.01477209 14.51782864 154.36186725 -0.08179146 -0.11866504 25.16845621
DJI_20211224092353_0153.JPG 101.01468295 14.51799747 154.37645851 -0.08624320 -0.10763259 25.16292578
