DJI_20211224092312_0125 H_34.99999_23.32763
5715 10.59942 1.42114
5716 0.56627 5.87306
5717 4.73542 5.46000
5718 16.47547 -1.63781
5719 9.97541 6.29636
5720 8.17567 4.04595
5721 10.27932 -0.10178
5727 16.89555 1.20232
5728 13.46092 1.71029
6856 4.97536 9.94365
6858 10.85307 3.02861
6859 8.03593 10.26920
6860 8.14620 7.33546
6861 14.16673 8.58512
6862 4.75871 9.78116
6863 3.24543 10.92147
6864 5.23267 10.40235
6866 12.30790 3.65556
6867 16.14378 4.20735
6868 10.24674 2.65413
6875 13.72112 7.07192
6877 12.12462 5.28193
6878 14.51337 6.27923
6879 13.37935 5.53451
6880 14.60791 4.62772
6881 10.34054 6.41179
6882 10.16443 6.26789
6883 16.77029 5.02240
6884 12.32110 5.80548
6903 10.21314 7.80142
6904 9.89842 9.81592
6905 13.52352 7.82060
6906 10.40683 8.61275
6907 9.76915 10.92618
7219 13.81716 9.24041
7220 16.49823 10.36946
7221 13.50705 10.51401
7222 9.91154 11.30997
7223 13.18481 9.51879
7531 10.08409 2.64806
7532 -10.03425 6.99519
7783 5.28391 -9.16022
7784 -4.51582 -2.72131
7785 -4.25271 -6.59212
7786 7.94739 -9.03270
7787 2.31409 -9.51877
7788 -7.90215 -3.07963
7789 7.81764 -11.51340
7790 -2.79487 -11.56890
7791 -9.32013 -5.63963
7792 -13.37484 -4.11816
8817 0.90296 -9.03682
8818 -17.13769 -4.34563
8819 -8.59663 -6.82304
8821 1.86742 -10.65852
8883 4.98903 -8.26942
8884 15.60448 -9.93765
8886 0.13502 -8.02917
8887 -11.73874 -5.74064
8888 -16.45673 -5.15513
8889 16.10837 -7.06023
8890 -17.12382 -6.91180
8891 -10.39271 -6.85941
8892 5.30792 -10.20853
8932 -16.87479 1.33983
8933 -0.93097 -5.70912
8934 13.94256 -5.71237
8935 -15.37363 0.67324
8936 -13.70403 1.28059
8937 -13.28736 -0.70363
8938 -14.07378 -0.53813
8939 -14.09589 -1.82928
8940 -0.13282 -3.89280
8941 10.04993 -6.51157
8942 -1.55464 -6.50217
8943 0.14426 -4.07586
8944 0.07816 -4.83233
8945 -7.46333 1.10276
8946 8.34718 -5.97253
8947 -15.65513 -0.80117
8948 10.60793 -6.32890
8949 -12.16068 -1.95561
8950 11.97243 -6.33312
8951 12.43387 -0.24147
8952 -7.94080 -0.77691
8953 -4.96912 1.58806
8954 5.84593 -2.91297
8955 11.55203 -5.72778
8956 15.08530 -5.60323
8957 -7.91551 -1.73541
8958 2.63713 1.38226
8959 0.53424 -4.00699
8960 5.18191 -4.35300
9007 -2.17628 -8.02529
9008 7.73201 -7.12989
9009 13.46257 -9.40219
11387 3.12404 -0.65669
14573 -3.56464 -4.51546
14574 -3.27346 -10.58007
14575 11.08141 -10.46073
14576 10.42668 -2.32900
-99
DJI_20211224092315_0127 H_34.99999_23.32763
1203 10.78590 -7.40606
1204 15.85590 -6.82614
4642 -10.87717 -0.16196
4643 -11.96391 -0.53740
4644 -16.83065 -2.27503
4654 -4.55971 -2.02863
4655 -12.32213 0.97018
4656 -15.29991 0.65247
4657 2.70244 -0.16127
4658 -7.44690 -1.98159
4659 -16.22310 -0.73030
4660 -12.38153 0.69437
4661 1.05501 1.67872
4662 -5.39043 1.96167
4663 10.70808 -5.78862
4664 -16.94352 -1.59190
4665 -7.85302 0.44530
4666 -3.64347 -0.62803
4667 -3.76104 -0.69730
4882 -1.52676 -8.03091
4883 -0.48666 -4.75895
4884 4.27090 -6.32295
4885 5.42349 -5.65617
4886 5.10069 -7.27589
4889 -0.59336 -4.85567
4890 0.31917 -5.09368
4891 10.19934 -6.39197
4950 -0.66429 -5.46140
4951 17.05487 -3.05545
4952 0.28223 -4.72816
4953 6.26040 -3.52230
4954 16.68323 -6.39797
4955 10.57723 -6.57801
4956 4.01633 -5.18867
4957 3.89688 -5.56620
4970 -3.12752 -8.25287
4971 3.75968 -4.82204
4972 10.59475 -5.65069
5025 14.93102 8.39745
5029 -16.53190 3.46837
5030 0.30976 6.34717
5031 -2.94746 5.67531
5032 -5.44599 3.26658
5033 -4.41423 4.94215
5034 0.77816 5.82846
5036 -11.25404 3.50486
5037 -9.80318 5.92185
5038 -12.37409 4.90309
5039 -12.65791 6.03923
5041 -14.57741 2.45455
5042 -15.38237 2.42066
5043 -10.73811 2.37091
5044 -11.04677 2.24539
5045 -1.53248 -1.80000
5046 -10.50997 2.17490
5195 -7.20748 8.92916
5196 -10.53375 11.06844
5197 -8.96958 9.86641
5198 -14.58245 8.53489
5200 -13.74731 8.39109
5204 -7.60312 7.51709
5205 -4.32290 9.56406
5590 -3.57836 7.76960
5595 -2.73105 4.94789
5596 -17.27143 6.54595
5702 0.94416 0.87270
5703 16.21849 -1.12613
5704 -2.19081 1.21348
5705 0.59361 0.19105
5706 8.21781 6.08476
5707 5.06748 -0.40921
5708 10.41989 -1.12350
5709 10.08860 -1.89908
5710 -2.28704 1.78391
5711 -2.28204 -2.18264
5712 -2.13642 0.02115
5713 10.25092 0.80939
5714 5.67203 1.75282
5715 10.83825 -3.36233
5716 0.81042 1.05289
5717 4.98526 0.65301
5718 16.68323 -6.39797
5719 10.23663 1.51466
5720 8.42066 -0.74686
5721 10.51297 -4.88867
5726 11.16152 -3.27359
5727 17.11815 -3.47700
5728 13.70184 -3.00374
6856 5.24299 5.17705
6858 11.10216 -1.71640
6859 8.30571 5.50124
6860 8.40929 2.55397
6861 14.44761 3.87638
6862 5.02628 5.00527
6863 3.50537 6.14980
6864 5.49655 5.63858
6866 12.55950 -1.12571
6867 16.39488 -0.49740
6868 10.48705 -2.13412
6875 13.98515 2.36368
6876 10.46484 -0.21390
6877 12.38274 0.50523
6878 14.78039 1.56330
6879 13.63865 0.80737
6880 14.86055 -0.09616
6881 10.60140 1.63606
6882 10.42553 1.49241
6883 17.03056 0.32116
6884 12.58273 1.03212
6891 7.48565 10.44146
6892 1.84301 8.06366
6893 -2.87869 8.19927
6894 1.99221 10.63442
6895 5.73037 9.61650
6896 -3.92592 10.33198
6897 5.39153 10.45335
6898 5.16886 10.59803
6899 2.44041 7.54592
6900 5.51630 7.58013
6901 7.48564 11.20458
6902 2.04084 7.46754
6903 10.47758 3.03414
6904 10.17212 5.05850
6905 13.79288 3.10794
6906 10.67730 3.84197
6907 10.04672 6.17977
7188 10.53331 11.42173
7189 10.49498 11.52799
7190 10.47576 10.49532
7204 -2.92393 10.95076
7205 0.81700 11.16774
7206 13.97719 7.76407
7207 10.52014 7.20380
7208 -3.42637 10.43635
7209 -3.23608 11.33190
7210 3.15907 11.26455
7211 13.64734 7.62114
7212 14.41507 8.28169
7213 -0.34104 11.57278
7219 14.09216 4.54579
7220 16.82035 5.69663
7221 13.79823 5.83402
7222 10.19686 6.58268
7223 13.47007 4.81589
7531 10.32743 -2.14182
7532 -9.81237 2.33496
7533 10.05571 7.85247
7534 -3.95780 10.24227
7784 -4.25807 -7.46667
7785 -4.00139 -11.31343
7788 -7.64512 -7.82326
7791 -9.05688 -10.35441
7792 -13.10203 -8.82407
8818 -16.85152 -9.02615
8819 -8.35310 -11.54387
8887 -11.46120 -10.42922
8888 -16.16991 -9.82564
8890 -16.80574 -11.55334
8891 -10.11581 -11.54347
8932 -16.62684 -3.38226
8933 -0.67970 -10.43262
8934 14.12447 -10.41149
8935 -15.12443 -4.06642
8936 -13.45903 -3.46391
8937 -13.02548 -5.45503
8938 -13.80953 -5.27968
8939 -13.82568 -6.56617
8940 0.10522 -8.63222
8941 10.25340 -11.25150
8942 -1.31001 -11.21386
8943 0.37025 -8.78418
8944 0.31197 -9.55922
8945 -7.21336 -3.69766
8946 8.55713 -10.74451
