8back01053 H_25.39998_16.93332
7252 3.27811 3.82923
7256 7.94988 6.09701
7258 -7.35083 -2.52110
7259 -5.36920 -3.67618
7260 -9.11741 -2.50391
7261 -0.25022 -3.91060
-99
8right01053 H_25.39998_16.93332
7262 3.41633 0.64321
7263 -3.82064 -0.85629
7265 -8.73353 -4.14897
7266 -7.43421 2.27490
7267 -7.23313 3.87967
7268 11.23734 -4.35392
7269 3.73261 1.77698
7270 10.63079 -4.99739
7271 11.24222 5.50183
7272 10.22861 5.61878
7273 9.82985 -3.96747
7274 -9.05539 0.28013
7275 3.21668 -2.54860
7276 -4.77670 -5.79685
7277 2.08919 4.01347
7278 5.25517 5.10858
7279 9.12634 7.91806
7280 -6.13551 -7.00222
7281 11.99216 3.99677
7282 3.09036 4.78878
7283 8.58173 3.47705
7284 -3.11226 3.15915
7285 6.04909 -1.79083
7286 6.52982 -1.05612
7287 8.26503 -5.07932
7288 -8.48610 -6.29365
7289 -6.82053 2.77943
7290 -0.55964 4.18098
7291 12.36451 -7.04941
7292 7.58489 -4.49499
7293 2.49385 -2.55121
7294 -3.99702 -1.87227
7295 0.26611 0.40363
7296 7.48619 7.01464
7297 -6.35882 4.69193
7298 9.57857 -6.40440
7299 1.13648 -4.46451
7300 7.79965 -1.58324
7301 -1.80324 7.38510
7302 -0.09361 -0.14444
7303 -9.06805 2.48324
7304 0.43380 -4.71778
7305 -6.79978 6.39623
7306 7.24433 -2.97967
7307 -1.65126 5.76892
7308 3.29701 -3.70727
7309 9.93966 -0.92352
7310 -4.62474 4.63431
7311 -6.94997 -6.05317
7312 -6.54190 5.86213
7313 -1.28984 -5.89284
7314 2.32954 2.88193
7315 4.72072 8.01547
7316 5.19346 -1.04633
7317 -1.12087 -2.49044
7318 -4.84099 -3.00859
7319 -6.99924 -2.56868
7320 9.29631 6.94850
7321 9.73277 -2.25701
7322 -0.73614 7.18939
7323 9.31272 2.33902
7324 0.60343 3.16035
7325 -0.87973 3.05673
7326 0.99999 7.98524
7327 -8.59015 -6.81028
7328 8.28318 5.54496
7329 5.05805 -4.07936
7331 12.32905 0.22763
7332 10.66739 7.79046
7333 6.94940 1.33979
7335 3.62135 -1.85117
7336 -4.30742 7.22096
7337 8.60805 4.10786
7338 8.28873 6.90457
29609 -9.12338 1.56952
-99
8back01054 H_25.39998_16.93332
7014 5.00172 -5.32621
7016 1.37375 -0.13282
7017 0.06159 1.58710
7018 10.99755 6.31216
7019 -2.40145 1.28200
7020 4.10339 3.97192
7021 2.59072 -4.64627
7022 4.05119 -2.72686
7024 2.76066 0.41578
7025 1.57469 2.51600
7026 0.07418 -6.82859
7027 2.65261 -0.21767
7028 -0.18306 0.49911
7029 0.35833 -3.60677
7030 8.17253 4.65308
7032 -3.15021 3.96068
7033 -0.79855 -4.61952
7035 6.60942 5.11643
7036 -0.18017 -1.16986
7037 -10.14551 0.99837
7039 -10.57448 6.37937
7040 0.70601 -7.34117
7042 5.04898 -0.41204
7043 2.94423 3.12918
7044 3.16923 5.53888
7045 -3.38039 0.65970
7046 4.72360 1.76768
7047 2.03951 -5.29001
7049 -4.46855 3.42175
7050 -8.63134 4.02959
7051 -2.84501 5.28743
7052 9.72281 1.30094
7053 -0.39523 4.36804
7055 -3.17404 -3.13087
7056 8.39267 5.68063
7059 -1.02997 5.11182
7060 -2.82348 -0.57517
7061 -11.33839 6.43667
7062 -5.36855 5.44096
7073 1.49244 0.83426
7080 -4.73233 3.43283
7083 -10.18143 4.89384
7341 11.02812 -3.34082
7342 6.04637 -3.88698
7343 10.60474 -4.31452
7344 -4.16331 -4.21008
7345 8.80766 -3.50331
7346 5.62657 -1.95631
7347 -0.40174 -1.92275
7348 -4.35239 5.86456
7349 2.90944 -4.77726
7350 11.05441 3.74264
7351 -5.98156 -0.04677
7353 -0.00139 7.24345
7354 -2.11420 1.09312
7355 4.91152 -1.85282
7356 -11.78553 4.29421
7357 9.82484 4.03046
7358 -8.62605 7.28668
7359 6.55807 -0.11414
7360 0.60123 4.74897
7361 4.30704 7.62286
7362 6.47461 2.39180
7363 3.58112 -6.88235
7364 10.11304 -4.41718
7366 10.22053 1.40447
7367 9.55888 -5.18887
-99
8down01054 H_25.39998_16.93332
2156 11.62357 5.87602
2174 0.59470 0.70582
2634 3.13271 5.95182
2726 4.45331 3.30890
2837 1.50535 3.18967
4814 10.34121 5.08308
4844 12.30826 4.80377
5164 -10.86391 7.04102
5165 -12.56256 7.57162
5168 -10.64914 5.72119
5169 -9.73382 3.94670
5170 -8.87155 5.73749
5172 5.04570 6.59910
5190 -11.73370 4.53919
5194 -11.64365 3.12806
5195 8.33874 4.29652
5202 -7.89256 1.69822
5203 -10.58254 2.01917
5205 -9.58889 2.08606
5207 -11.36970 0.55046
5208 -7.38106 2.03332
5209 -4.33725 2.32984
5216 -12.06069 1.36061
5218 2.72874 1.25806
5234 -3.53386 -0.57659
5235 -9.78491 0.35452
5239 8.23736 -2.21310
5240 -6.31450 -0.59161
5241 -5.30849 1.53875
5242 -3.76490 -1.84992
5243 -5.29957 -2.29664
5247 -1.75409 2.99637
5255 -9.47330 -2.50878
5257 -7.40217 4.69016
5258 -8.87702 8.18234
5261 11.86046 1.97472
5264 -2.50432 3.10995
5282 -2.62037 -4.41251
5285 -1.56670 -4.69985
5286 1.16306 3.05791
5288 -6.03105 4.51752
5290 10.31691 -3.99423
5292 -2.72211 3.81589
5296 2.78316 -4.19317
5297 11.37082 -1.35933
5298 -8.05209 -3.25929
5300 8.25468 -4.06868
5301 0.21726 4.69935
5304 -11.46738 -2.40691
5307 -6.65326 7.64485
5310 7.29336 4.29241
5312 -2.93996 7.59808
5313 2.52583 7.19623
5323 -7.32025 3.36693
5325 -3.98900 2.66885
5328 7.62281 -7.58473
5329 1.88242 -7.10355
5376 9.28881 4.73215
5495 11.44166 2.60876
5514 1.46203 2.50769
5515 11.78672 0.60212
5516 -1.35678 0.56073
5520 -0.07374 5.09475
5522 6.33214 1.01185
5524 6.74308 -6.33735
5526 -2.30912 -4.23264
5527 3.38921 -2.65087
5529 0.37802 -4.94401
5530 7.78388 -1.62151
5531 6.45465 1.46865
5532 1.69416 1.22085
5534 5.48660 6.96958
5535 7.42529 -1.45684
5536 -1.12492 0.51085
5537 -1.05400 -2.29110
5538 -2.01485 -0.92098
5541 -0.19192 4.94589
5542 11.27054 3.55383
5543 12.38948 1.79918
5545 1.90116 4.92835
5552 5.30801 5.86034
5569 2.19762 -0.39963
5570 6.06618 -4.17596
5571 4.09347 -3.97294
5572 11.64808 -4.64357
5573 2.29849 -1.48020
5574 4.51404 -3.50817
5576 2.35175 1.02480
5577 2.23107 -1.11280
5578 3.07846 -0.86416
5579 5.36643 -0.03943
5584 2.04387 -1.92185
5585 10.26268 0.62093
5617 10.97060 1.19866
5620 5.78556 6.60166
5631 8.55264 1.69241
5632 11.96230 4.03933
6437 10.25777 -4.67562
6452 12.30664 5.23189
6622 10.41641 4.80606
6642 10.74454 -4.87535
6674 10.38608 2.74480
6732 6.01605 -0.04128
6735 10.25879 5.12382
6736 7.35626 -0.32107
6738 9.18647 1.10241
6743 7.81736 0.14860
7095 -2.04911 0.23826
7096 3.02850 0.01531
7097 6.96785 -3.37505
7098 3.07836 2.75076
7099 6.88077 -4.50167
7369 6.10554 0.30740
7370 9.28708 -4.87425
7522 12.05034 -1.52414
14562 6.23722 -6.42933
29394 -1.84549 -1.23643
-99
8front01054 H_25.39998_16.93332
7107 -6.07561 4.46790
7108 1.35644 -1.92086
7109 -10.37260 5.09827
7111 3.59032 -1.79289
7112 -0.60205 -4.46143
7113 -3.00801 -3.74078
7114 -5.67180 -2.06596
7115 0.74645 0.03660
7116 -0.98513 -3.97036
7117 -6.10747 2.65642
7118 -7.06011 -0.41101
7119 3.09597 -1.29978
7120 -3.02805 -1.19239
7121 -6.42253 -5.62937
7122 2.88681 -4.37824
7124 -4.21994 3.95203
7125 8.70333 2.52455
7126 -2.98798 -3.62040
7127 -4.48441 7.19186
7128 1.86101 -2.95056
7129 -0.34048 -1.77778
7131 -2.68388 4.52674
7132 -4.81642 4.98502
7133 1.60094 -4.74089
