imageName, cameraIndex, cameraName, X_opt, Y_opt, Z_opt, X_gps, Y_gps, Z_gps, X_acc, Y_acc, Z_acc, Omega, Phi, Kappa, X_uncertainty, Y_uncertainty, Z_uncertainty, Omega_uncertainty, Phi_uncertainty, Kappa_uncertainty, inlierProb
8left01056.JPG, 3, SHARE102SPRO265_LEFT_38.0_6000x4000 (RGB)(4), 717583.435639, 1606131.922970, 124.289847, 717584.025444, 1606131.868320, 140.697000, 0.931730, 0.931730, 2.673500, -37.485862, 36.452937, -51.485410, 0.023823, 0.029117, 0.034322, 0.015499, 0.009099, 0.010906, 1.000000
8right01056.JPG, 4, SHARE102SPRO265_RIGHT_38.0_6000x4000 (RGB)(5), 717583.354639, 1606131.875876, 124.297406, 717584.022354, 1606131.690349, 140.701000, 0.931730, 0.931730, 2.673500, 15.329941, -39.206270, 130.358875, 0.023823, 0.029117, 0.034322, 0.016900, 0.010627, 0.011845, 1.000000
8back01057.JPG, 1, SHARE102SPRO265_BACK_38.0_6000x4000 (RGB)(2), 717575.649458, 1606144.828324, 124.316306, 717576.003456, 1606145.304890, 140.714000, 0.931270, 0.931270, 2.672400, -53.768627, -21.902183, 21.133276, 0.022388, 0.026126, 0.033562, 0.011668, 0.007548, 0.012259, 1.000000
8down01057.JPG, 0, SHARE102SPRO265_DOWN_27.0_6000x4000 (RGB)(1), 717575.626378, 1606144.862495, 124.282636, 717576.254025, 1606144.883587, 140.758000, 0.931270, 0.931270, 2.672400, -12.206277, -1.671925, 30.451251, 0.022388, 0.026126, 0.033562, 0.010707, 0.013316, 0.005227, 1.000000
8front01057.JPG, 2, SHARE102SPRO265_FRONT_38.0_6000x4000 (RGB)(3), 717575.601839, 1606144.907232, 124.297815, 717576.095312, 1606145.149237, 140.727000, 0.931270, 0.931270, 2.672400, 28.253483, 19.853439, -156.406600, 0.022388, 0.026126, 0.033562, 0.011278, 0.012033, 0.007839, 1.000000
8left01057.JPG, 3, SHARE102SPRO265_LEFT_38.0_6000x4000 (RGB)(4), 717575.666148, 1606144.891309, 124.303179, 717576.475002, 1606144.602664, 140.720000, 0.931270, 0.931270, 2.672400, -37.959086, 36.304874, -51.583503, 0.022388, 0.026126, 0.033562, 0.014525, 0.008165, 0.010327, 1.000000
8right01057.JPG, 4, SHARE102SPRO265_RIGHT_38.0_6000x4000 (RGB)(5), 717575.585149, 1606144.844247, 124.310941, 717576.226786, 1606144.835322, 140.723000, 0.931270, 0.931270, 2.672400, 14.855982, -39.358676, 130.449606, 0.022388, 0.026126, 0.033562, 0.015763, 0.009676, 0.010555, 1.000000
8back01058.JPG, 1, SHARE102SPRO265_BACK_38.0_6000x4000 (RGB)(2), 717568.039156, 1606157.819366, 124.403477, 717568.220636, 1606158.472110, 140.712000, 0.933250, 0.933250, 2.673120, -54.081363, -22.409974, 20.632412, 0.022298, 0.027051, 0.033206, 0.012537, 0.007550, 0.012363, 1.000000
8down01058.JPG, 0, SHARE102SPRO265_DOWN_27.0_6000x4000 (RGB)(1), 717568.016392, 1606157.853409, 124.369463, 717568.469049, 1606158.050788, 140.754000, 0.933250, 0.933250, 2.673120, -12.330439, -2.359639, 30.442169, 0.022298, 0.027051, 0.033206, 0.011377, 0.013490, 0.005372, 1.000000
8front01058.JPG, 2, SHARE102SPRO265_FRONT_38.0_6000x4000 (RGB)(3), 717567.991569, 1606157.898119, 124.384255, 717568.304819, 1606158.330777, 140.725000, 0.933250, 0.933250, 2.673120, 27.973545, 19.323694, -155.941013, 0.022298, 0.027051, 0.033206, 0.012129, 0.012186, 0.007947, 1.000000
8left01058.JPG, 3, SHARE102SPRO265_LEFT_38.0_6000x4000 (RGB)(4), 717568.055849, 1606157.882363, 124.390410, 717568.699885, 1606157.752245, 140.714000, 0.933250, 0.933250, 2.673120, -37.860786, 35.688812, -51.961456, 0.022298, 0.027051, 0.033206, 0.014938, 0.008617, 0.010708, 1.000000
8right01058.JPG, 4, SHARE102SPRO265_RIGHT_38.0_6000x4000 (RGB)(5), 717567.974876, 1606157.835123, 124.397321, 717568.442878, 1606158.003639, 140.720000, 0.933250, 0.933250, 2.673120, 14.986026, -39.974549, 130.847341, 0.022298, 0.027051, 0.033206, 0.016333, 0.010234, 0.011211, 1.000000
8back01059.JPG, 1, SHARE102SPRO265_BACK_38.0_6000x4000 (RGB)(2), 717560.726131, 1606170.179437, 124.369993, 717560.911739, 1606170.836744, 140.709000, 0.933770, 0.933770, 2.671060, -52.528589, -21.659098, 21.353571, 0.021780, 0.025063, 0.032811, 0.011601, 0.007675, 0.011951, 1.000000
8down01059.JPG, 0, SHARE102SPRO265_DOWN_27.0_6000x4000 (RGB)(1), 717560.702914, 1606170.214308, 124.337146, 717561.153537, 1606170.431964, 140.753000, 0.933770, 0.933770, 2.671060, -11.048191, -1.354317, 30.443269, 0.021780, 0.025063, 0.032811, 0.010771, 0.013176, 0.004918, 1.000000
8front01059.JPG, 2, SHARE102SPRO265_FRONT_38.0_6000x4000 (RGB)(3), 717560.678516, 1606170.258759, 124.353359, 717561.237774, 1606170.289180, 140.721000, 0.933770, 0.933770, 2.671060, 29.488943, 20.089774, -156.632517, 0.021780, 0.025063, 0.032811, 0.011373, 0.011694, 0.007946, 1.000000
8left01059.JPG, 3, SHARE102SPRO265_LEFT_38.0_6000x4000 (RGB)(4), 717560.742832, 1606170.242654, 124.358052, 717561.384372, 1606170.133421, 140.713000, 0.933770, 0.933770, 2.671060, -36.897587, 36.594293, -51.420576, 0.021780, 0.025063, 0.032811, 0.014324, 0.008230, 0.010395, 1.000000
8right01059.JPG, 4, SHARE102SPRO265_RIGHT_38.0_6000x4000 (RGB)(5), 717560.661814, 1606170.195542, 124.365300, 717561.140517, 1606170.360584, 140.718000, 0.933770, 0.933770, 2.671060, 15.890795, -39.079308, 130.254310, 0.021780, 0.025063, 0.032811, 0.015373, 0.009701, 0.010216, 1.000000
8back01060.JPG, 1, SHARE102SPRO265_BACK_38.0_6000x4000 (RGB)(2), 717553.023322, 1606183.189085, 124.498475, 717553.110891, 1606183.971714, 140.694000, 0.934390, 0.934390, 2.677900, -53.321994, -21.842437, 21.351197, 0.022382, 0.024276, 0.032719, 0.011665, 0.007456, 0.011955, 1.000000
8down01060.JPG, 0, SHARE102SPRO265_DOWN_27.0_6000x4000 (RGB)(1), 717553.000082, 1606183.223440, 124.465104, 717553.351611, 1606183.566924, 140.738000, 0.934390, 0.934390, 2.677900, -11.837739, -1.493127, 30.563096, 0.022382, 0.024276, 0.032719, 0.010950, 0.012937, 0.005015, 1.000000
8front01060.JPG, 2, SHARE102SPRO265_FRONT_38.0_6000x4000 (RGB)(3), 717552.975540, 1606183.268048, 124.480652, 717553.190703, 1606183.836983, 140.708000, 0.934390, 0.934390, 2.677900, 28.630180, 20.062027, -156.439551, 0.022382, 0.024276, 0.032719, 0.011500, 0.011645, 0.007700, 1.000000
8left01060.JPG, 3, SHARE102SPRO265_LEFT_38.0_6000x4000 (RGB)(4), 717553.039887, 1606183.252174, 124.485693, 717553.338389, 1606183.680126, 140.699000, 0.934390, 0.934390, 2.677900, -37.725063, 36.417127, -51.361826, 0.022382, 0.024276, 0.032719, 0.014005, 0.008283, 0.010679, 1.000000
8right01060.JPG, 4, SHARE102SPRO265_RIGHT_38.0_6000x4000 (RGB)(5), 717552.958974, 1606183.204960, 124.493434, 717553.096720, 1606183.903989, 140.703000, 0.934390, 0.934390, 2.677900, 15.236299, -39.148587, 130.473103, 0.022382, 0.024276, 0.032719, 0.015049, 0.009938, 0.010187, 1.000000
8back01061.JPG, 1, SHARE102SPRO265_BACK_38.0_6000x4000 (RGB)(2), 717545.898771, 1606195.225281, 124.612841, 717545.776380, 1606196.308457, 140.696000, 0.934905, 0.934905, 2.675140, -53.134473, -21.933685, 21.317689, 0.021578, 0.024310, 0.032305, 0.011783, 0.007322, 0.011865, 1.000000
8down01061.JPG, 0, SHARE102SPRO265_DOWN_27.0_6000x4000 (RGB)(1), 717545.875545, 1606195.259730, 124.579557, 717546.028046, 1606195.884950, 140.741000, 0.934905, 0.934905, 2.675140, -11.636730, -1.582077, 30.600271, 0.021578, 0.024310, 0.032305, 0.010964, 0.012803, 0.004943, 1.000000
8front01061.JPG, 2, SHARE102SPRO265_FRONT_38.0_6000x4000 (RGB)(3), 717545.850939, 1606195.304261, 124.595227, 717545.862748, 1606196.163823, 140.709000, 0.934905, 0.934905, 2.675140, 28.798826, 20.018452, -156.348020, 0.021578, 0.024310, 0.032305, 0.011443, 0.011559, 0.007513, 1.000000
8left01061.JPG, 3, SHARE102SPRO265_LEFT_38.0_6000x4000 (RGB)(4), 717545.915294, 1606195.288430, 124.600302, 717546.252295, 1606195.599629, 140.702000, 0.934905, 0.934905, 2.675140, -37.521074, 36.320878, -51.368533, 0.021578, 0.024310, 0.032305, 0.013820, 0.008380, 0.010459, 1.000000
8right01061.JPG, 4, SHARE102SPRO265_RIGHT_38.0_6000x4000 (RGB)(5), 717545.834415, 1606195.241112, 124.607766, 717546.002963, 1606195.836704, 140.706000, 0.934905, 0.934905, 2.675140, 15.496299, -39.210837, 130.568058, 0.021578, 0.024310, 0.032305, 0.015045, 0.009883, 0.010438, 1.000000
8back01062.JPG, 1, SHARE102SPRO265_BACK_38.0_6000x4000 (RGB)(2), 717537.974456, 1606208.598004, 124.673014, 717537.458249, 1606210.275516, 140.714000, 0.933480, 0.933480, 2.677060, -53.664744, -21.962898, 21.008830, 0.023018, 0.023631, 0.032206, 0.012352, 0.007128, 0.011915, 1.000000
8down01062.JPG, 0, SHARE102SPRO265_DOWN_27.0_6000x4000 (RGB)(1), 717537.951463, 1606208.632270, 124.639382, 717537.946288, 1606209.455690, 140.757000, 0.933480, 0.933480, 2.677060, -12.057305, -1.793958, 30.405183, 0.023018, 0.023631, 0.032206, 0.011630, 0.012571, 0.005127, 1.000000
8front01062.JPG, 2, SHARE102SPRO265_FRONT_38.0_6000x4000 (RGB)(3), 717537.926905, 1606208.676976, 124.654622, 717537.536963, 1606210.142988, 140.726000, 0.933480, 0.933480, 2.677060, 28.387965, 19.730703, -156.359691, 0.023018, 0.023631, 0.032206, 0.012102, 0.011518, 0.007287, 1.000000
8left01062.JPG, 3, SHARE102SPRO265_LEFT_38.0_6000x4000 (RGB)(4), 717537.991196, 1606208.661018, 124.660090, 717538.176015, 1606209.160457, 140.717000, 0.933480, 0.933480, 2.677060, -37.739449, 36.214911, -51.700624, 0.023018, 0.023631, 0.032206, 0.013522, 0.008838, 0.011143, 1.000000
8right01062.JPG, 4, SHARE102SPRO265_RIGHT_38.0_6000x4000 (RGB)(5), 717537.910164, 1606208.613963, 124.667546, 717537.679383, 1606209.810355, 140.723000, 0.933480, 0.933480, 2.677060, 15.018292, -39.488295, 130.468415, 0.023018, 0.023631, 0.032206, 0.014831, 0.010547, 0.010852, 1.000000
8back01063.JPG, 1, SHARE102SPRO265_BACK_38.0_6000x4000 (RGB)(2), 717530.752443, 1606220.674711, 124.788817, 717530.608719, 1606221.778784, 140.716000, 0.937965, 0.937965, 2.684640, -52.617782, -21.229023, 21.793277, 0.021815, 0.022595, 0.031720, 0.011216, 0.007229, 0.011628, 1.000000
8down01063.JPG, 0, SHARE102SPRO265_DOWN_27.0_6000x4000 (RGB)(1), 717530.728947, 1606220.709477, 124.756057, 717530.847262, 1606221.376188, 140.760000, 0.937965, 0.937965, 2.684640, -11.297723, -0.761061, 30.465855, 0.021815, 0.022595, 0.031720, 0.010706, 0.012432, 0.004763, 1.000000
8front01063.JPG, 2, SHARE102SPRO265_FRONT_38.0_6000x4000 (RGB)(3), 717530.704787, 1606220.754038, 124.772323, 717530.690725, 1606221.639644, 140.730000, 0.937965, 0.937965, 2.684640, 29.375646, 20.554881, -157.025980, 0.021815, 0.022595, 0.031720, 0.011037, 0.011237, 0.007316, 1.000000
8left01063.JPG, 3, SHARE102SPRO265_LEFT_38.0_6000x4000 (RGB)(4), 717530.769123, 1606220.737848, 124.776429, 717530.831835, 1606221.494904, 140.721000, 0.937965, 0.937965, 2.684640, -37.357393, 37.117833, -51.070705, 0.021815, 0.022595, 0.031720, 0.013152, 0.008165, 0.010550, 1.000000
8right01063.JPG, 4, SHARE102SPRO265_RIGHT_38.0_6000x4000 (RGB)(5), 717530.688108, 1606220.690901, 124.784711, 717530.582523, 1606221.729766, 140.725000, 0.937965, 0.937965, 2.684640, 15.441622, -38.539762, 129.936437, 0.021815, 0.022595, 0.031720, 0.014208, 0.009737, 0.009764, 1.000000
8back01064.JPG, 1, SHARE102SPRO265_BACK_38.0_6000x4000 (RGB)(2), 717523.164736, 1606233.492095, 124.875728, 717523.058200, 1606234.527523, 140.721000, 0.930745, 0.930745, 2.673290, -53.009760, -22.045845, 21.084529, 0.022483, 0.023074, 0.031640, 0.011814, 0.007229, 0.011810, 1.000000
8down01064.JPG, 0, SHARE102SPRO265_DOWN_27.0_6000x4000 (RGB)(1), 717523.141674, 1606233.526683, 124.842475, 717523.306582, 1606234.109521, 140.765000, 0.930745, 0.930745, 2.673290, -11.427300, -1.809398, 30.512789, 0.022483, 0.023074, 0.031640, 0.011185, 0.012555, 0.004917, 1.000000
8front01064.JPG, 2, SHARE102SPRO265_FRONT_38.0_6000x4000 (RGB)(3), 717523.117033, 1606233.571173, 124.858206, 717523.139099, 1606234.391694, 140.734000, 0.930745, 0.930745, 2.673290, 28.981579, 19.788695, -156.262057, 0.022483, 0.023074, 0.031640, 0.011568, 0.011404, 0.007337, 1.000000
8left01064.JPG, 3, SHARE102SPRO265_LEFT_38.0_6000x4000 (RGB)(4), 717523.181356, 1606233.555278, 124.863492, 717523.537417, 1606233.810977, 140.726000, 0.930745, 0.930745, 2.673290, -37.178807, 36.154330, -51.588868, 0.022483, 0.023074, 0.031640, 0.013358, 0.008569, 0.010776, 1.000000
8right01064.JPG, 4, SHARE102SPRO265_RIGHT_38.0_6000x4000 (RGB)(5), 717523.100414, 1606233.507991, 124.870442, 717523.281519, 1606234.059062, 140.731000, 0.930745, 0.930745, 2.673290, 15.729541, -39.453016, 130.601544, 0.022483, 0.023074, 0.031640, 0.014587, 0.010109, 0.010405, 1.000000
8back01065.JPG, 1, SHARE102SPRO265_BACK_38.0_6000x4000 (RGB)(2), 717515.328175, 1606246.419689, 124.827162, 717515.479631, 1606247.279337, 140.717000, 0.935805, 0.935805, 2.690140, -53.067220, -21.688532, 21.499706, 0.021898, 0.020924, 0.031305, 0.011049, 0.007026, 0.011581, 1.000000
8down01065.JPG, 0, SHARE102SPRO265_DOWN_27.0_6000x4000 (RGB)(1), 717515.304842, 1606246.454177, 124.793992, 717515.720349, 1606246.874546, 140.761000, 0.935805, 0.935805, 2.690140, -11.637998, -1.286470, 30.564569, 0.021898, 0.020924, 0.031305, 0.010636, 0.012084, 0.004894, 1.000000
8front01065.JPG, 2, SHARE102SPRO265_FRONT_38.0_6000x4000 (RGB)(3), 717515.280387, 1606246.498748, 124.809783, 717515.551789, 1606247.156711, 140.729000, 0.935805, 0.935805, 2.690140, 28.878691, 20.220145, -156.581291, 0.021898, 0.020924, 0.031305, 0.010803, 0.011099, 0.007032, 1.000000
8left01065.JPG, 3, SHARE102SPRO265_LEFT_38.0_6000x4000 (RGB)(4), 717515.344741, 1606246.482811, 124.814541, 717515.951174, 1606246.577110, 140.722000, 0.935805, 0.935805, 2.690140, -37.593208, 36.602349, -51.247784, 0.021898, 0.020924, 0.031305, 0.012577, 0.008171, 0.010551, 1.000000
8right01065.JPG, 4, SHARE102SPRO265_RIGHT_38.0_6000x4000 (RGB)(5), 717515.263822, 1606246.435627, 124.822404, 717515.696384, 1606246.821884, 140.727000, 0.935805, 0.935805, 2.690140, 15.360847, -38.963844, 130.353821, 0.021898, 0.020924, 0.031305, 0.013752, 0.009687, 0.009847, 1.000000
