imageName longitude latitude altitude Omega Phi Kappa
8back01053.JPG 101.01928679 14.51905752 124.34593438 -52.62188101 -21.60307596 21.67444881
8down01053.JPG 101.01928657 14.51905784 124.31306900 -11.25574721 -1.11496155 30.62991062
8front01053.JPG 101.01928635 14.51905824 124.32923261 29.28243879 20.39295820 -156.64717955
8left01053.JPG 101.01928695 14.51905809 124.33368131 -37.31201474 36.72784968 -51.08083986
8right01053.JPG 101.01928619 14.51905767 124.34148568 15.72590838 -38.78136740 130.32861339
8back01054.JPG 101.01921334 14.51917880 124.25498372 -53.56733245 -21.69703229 21.58916609
8down01054.JPG 101.01921312 14.51917911 124.22152018 -12.16968056 -1.23785988 30.63254814
8front01054.JPG 101.01921290 14.51917951 124.23692162 28.33809454 20.30125095 -156.55987396
8left01054.JPG 101.01921349 14.51917937 124.24175829 -38.18759685 36.61626678 -51.14514525
8right01054.JPG 101.01921274 14.51917895 124.25014705 14.85873709 -38.88966836 130.40327002
8back01055.JPG 101.01914905 14.51928680 124.36074574 -53.23156382 -21.70887436 21.59517218
8down01055.JPG 101.01914884 14.51928711 124.32748053 -11.83587275 -1.24305310 30.64456783
8front01055.JPG 101.01914861 14.51928752 124.34314076 28.66701375 20.30510749 -156.54653514
8left01055.JPG 101.01914921 14.51928737 124.34788814 -37.86037970 36.60632814 -51.13453051
8right01055.JPG 101.01914845 14.51928695 124.35599836 15.20282222 -38.88883236 130.42005439
8back01056.JPG 101.01908350 14.51939820 124.30243764 -53.19064063 -21.78113110 21.25847918
8down01056.JPG 101.01908329 14.51939851 124.26915258 -11.67468570 -1.50425067 30.45796723
8front01056.JPG 101.01908307 14.51939891 124.28481626 28.82248216 19.98533882 -156.51694205
8left01056.JPG 101.01908366 14.51939876 124.28984747 -37.48586154 36.45293739 -51.48541041
8right01056.JPG 101.01908291 14.51939835 124.29740643 15.32994137 -39.20626954 130.35887476
8back01057.JPG 101.01901250 14.51951600 124.31630617 -53.76862710 -21.90218343 21.13327597
8down01057.JPG 101.01901229 14.51951631 124.28263593 -12.20627731 -1.67192487 30.45125057
8front01057.JPG 101.01901206 14.51951672 124.29781452 28.25348335 19.85343885 -156.40659994
8left01057.JPG 101.01901266 14.51951657 124.30317949 -37.95908621 36.30487446 -51.58350270
8right01057.JPG 101.01901190 14.51951615 124.31094121 14.85598199 -39.35867555 130.44960612
8back01058.JPG 101.01894297 14.51963399 124.40347675 -54.08136321 -22.40997417 20.63241250
8down01058.JPG 101.01894277 14.51963430 124.36946317 -12.33043888 -2.35963929 30.44216876
8front01058.JPG 101.01894254 14.51963471 124.38425478 27.97354458 19.32369360 -155.94101334
8left01058.JPG 101.01894313 14.51963456 124.39041025 -37.86078619 35.68881206 -51.96145578
8right01058.JPG 101.01894238 14.51963414 124.39732128 14.98602574 -39.97454858 130.84734057
8back01059.JPG 101.01887615 14.51974626 124.36999348 -52.52858869 -21.65909825 21.35357074
8down01059.JPG 101.01887594 14.51974658 124.33714619 -11.04819121 -1.35431694 30.44326904
8front01059.JPG 101.01887572 14.51974698 124.35335851 29.48894327 20.08977411 -156.63251651
8left01059.JPG 101.01887631 14.51974683 124.35805232 -36.89758686 36.59429315 -51.42057613
8right01059.JPG 101.01887556 14.51974641 124.36529967 15.89079513 -39.07930842 130.25430962
8back01060.JPG 101.01880577 14.51986443 124.49847513 -53.32199369 -21.84243702 21.35119731
8down01060.JPG 101.01880556 14.51986474 124.46510353 -11.83773945 -1.49312730 30.56309610
8front01060.JPG 101.01880534 14.51986515 124.48065194 28.63017959 20.06202734 -156.43955128
8left01060.JPG 101.01880593 14.51986500 124.48569301 -37.72506310 36.41712677 -51.36182582
8right01060.JPG 101.01880518 14.51986458 124.49343406 15.23629881 -39.14858654 130.47310300
8back01061.JPG 101.01874068 14.51997376 124.61284062 -53.13447326 -21.93368496 21.31768862
8down01061.JPG 101.01874046 14.51997407 124.57955687 -11.63672966 -1.58207677 30.60027080
8front01061.JPG 101.01874024 14.51997448 124.59522675 28.79882600 20.01845152 -156.34802021
8left01061.JPG 101.01874084 14.51997433 124.60030180 -37.52107356 36.32087811 -51.36853302
8right01061.JPG 101.01874008 14.51997391 124.60776557 15.49629915 -39.21083733 130.56805761
8back01062.JPG 101.01866827 14.52009523 124.67301383 -53.66474358 -21.96289812 21.00883047
8down01062.JPG 101.01866806 14.52009554 124.63938153 -12.05730469 -1.79395781 30.40518257
8front01062.JPG 101.01866784 14.52009595 124.65462223 28.38796535 19.73070257 -156.35969094
8left01062.JPG 101.01866843 14.52009580 124.66009011 -37.73944909 36.21491083 -51.70062410
8right01062.JPG 101.01866768 14.52009538 124.66754594 15.01829249 -39.48829518 130.46841534
8back01063.JPG 101.01860227 14.52020493 124.78881683 -52.61778233 -21.22902349 21.79327712
8down01063.JPG 101.01860206 14.52020525 124.75605669 -11.29772317 -0.76106058 30.46585521
8front01063.JPG 101.01860184 14.52020565 124.77232334 29.37564616 20.55488081 -157.02597961
8left01063.JPG 101.01860243 14.52020550 124.77642925 -37.35739317 37.11783319 -51.07070543
8right01063.JPG 101.01860168 14.52020508 124.78471092 15.44162211 -38.53976184 129.93643668
8back01064.JPG 101.01853294 14.52032135 124.87572798 -53.00975987 -22.04584508 21.08452895
8down01064.JPG 101.01853273 14.52032167 124.84247493 -11.42730035 -1.80939770 30.51278871
8front01064.JPG 101.01853251 14.52032207 124.85820629 28.98157882 19.78869514 -156.26205694
8left01064.JPG 101.01853310 14.52032192 124.86349238 -37.17880720 36.15433047 -51.58886849
8right01064.JPG 101.01853235 14.52032150 124.87044189 15.72954124 -39.45301566 130.60154385
8back01065.JPG 101.01846132 14.52043879 124.82716175 -53.06721978 -21.68853169 21.49970640
8down01065.JPG 101.01846110 14.52043910 124.79399248 -11.63799831 -1.28647038 30.56456920
8front01065.JPG 101.01846088 14.52043951 124.80978296 28.87869068 20.22014488 -156.58129083
