x,y,z,sx,sy,sz
717477.49,1606395.69,11.38,0.0324,0.0312,0.4289
717572.04,1606210.14,14.18,0.1610,0.1885,0.4224
717428.58,1606362.17,7.11,0.3121,0.1922,0.6860
717438.04,1606437.78,3.91,0.0798,0.0559,0.3560
717660.31,1606335.09,4.78,0.1919,0.0737,0.4515
717433.29,1606419.37,9.80,0.0367,0.0142,0.1885
717545.02,1606449.40,3.35,0.0704,0.1946,0.5571
717525.98,1606381.51,6.87,0.0520,0.0243,0.1203
717573.59,1606157.25,10.67,0.0913,0.0511,0.3178
717516.91,1606406.10,12.79,0.0352,0.0115,0.0942
717539.31,1606341.91,4.00,0.0160,0.0193,0.0655
717476.32,1606334.25,11.77,0.0133,0.0920,0.1656
717650.64,1606203.67,7.29,0.1324,0.0545,0.2223
717535.73,1606390.21,4.96,0.0561,0.0271,0.1206
717678.96,1606337.35,17.11,0.2262,0.1514,0.7358
717483.19,1606254.51,15.86,0.0211,0.0683,0.1578
717680.04,1606325.57,14.14,0.1180,0.0475,0.4004
717514.87,1606495.39,3.06,0.0252,0.0386,0.1649
717574.18,1606283.61,11.95,0.0704,0.0273,0.2088
717619.56,1606303.13,5.10,0.0637,0.0725,0.8764
717645.75,1606320.25,12.98,0.0913,0.0716,0.3368
717552.33,1606197.62,13.13,0.1798,0.0716,0.3912
717573.64,1606183.38,13.17,0.1116,0.1478,0.3895
717608.41,1606214.23,6.38,0.0773,0.0641,0.6634
717649.68,1606396.81,19.04,0.0353,0.1582,0.3268
717471.28,1606366.60,64.43,0.0152,0.0164,0.0346
717452.66,1606350.52,3.56,0.1556,0.1063,0.4130
717503.11,1606248.89,12.42,0.0796,0.2137,0.5588
717427.28,1606283.43,15.39,0.1602,0.1248,0.3830
717520.04,1606253.07,14.62,0.0904,0.1101,0.3030
717577.23,1606149.85,8.61,0.1122,0.0443,0.4500
717538.37,1606281.01,10.98,0.0916,0.0220,0.2095
717449.98,1606208.81,-0.10,0.3569,0.7675,1.1491
717483.65,1606231.69,19.65,0.0259,0.1827,0.3211
717466.38,1606308.27,3.81,0.0306,0.0348,0.3708
717588.76,1606145.01,9.92,0.0606,0.0273,0.3950
717462.24,1606291.09,7.65,0.0918,0.1987,0.8457
717520.63,1606261.73,13.04,0.0170,0.0159,0.1687
717576.05,1606185.30,12.30,0.0357,0.0784,0.1808
717451.65,1606419.79,13.06,0.1250,0.0243,0.3521
717618.61,1606143.43,11.41,0.0320,0.0297,0.1612
717482.61,1606256.49,4.66,0.4224,0.1157,1.0771
717563.37,1606365.67,4.76,0.2860,0.0787,0.4364
717463.38,1606383.57,8.29,0.0269,0.0230,0.0711
717623.09,1606248.12,5.04,0.0178,0.0174,0.0589
717648.40,1606269.99,14.39,0.0267,0.0837,0.3370
717464.27,1606311.78,3.82,0.0436,0.0325,0.1536
717547.50,1606273.52,9.91,0.1407,0.0458,0.2720
717490.21,1606361.00,4.72,0.0443,0.0852,0.2453
717538.57,1606189.96,13.20,0.1006,0.0790,0.2429
717596.39,1606128.71,10.68,0.0667,0.1246,0.3283
717455.37,1606255.01,10.92,0.0509,0.1171,0.2348
717438.41,1606278.39,14.86,0.1076,0.0888,0.2882
717550.75,1606292.06,20.33,0.0336,0.0367,0.1518
717480.70,1606250.32,19.80,0.0256,0.1835,0.3527
717448.43,1606258.06,12.22,0.0561,0.0969,0.2033
717459.47,1606261.44,9.90,0.0256,0.0601,0.1369
717655.94,1606143.16,4.85,0.0991,0.0692,0.2623
717527.16,1606268.80,12.86,0.0128,0.0127,0.1754
717541.43,1606279.27,11.57,0.1346,0.0585,0.2495
717442.42,1606221.99,0.49,0.3273,0.6822,1.0326
717486.04,1606268.05,5.43,0.0128,0.0166,0.0402
717440.84,1606265.72,13.98,0.1469,0.1444,0.4023
717445.57,1606377.46,10.48,0.0583,0.0601,0.1956
717457.63,1606255.52,10.28,0.0402,0.0728,0.1643
717477.88,1606259.51,16.17,0.0153,0.0428,0.1155
717445.63,1606218.45,0.15,0.1237,0.2475,0.3823
717448.08,1606267.89,17.21,0.0717,0.0798,0.2128
717457.57,1606249.93,15.53,0.0531,0.0902,0.1975
717475.31,1606238.63,19.20,0.0464,0.1909,0.3338
717452.58,1606261.11,9.29,0.0585,0.0669,0.1991
717443.16,1606260.43,14.72,0.0797,0.0713,0.2024
717445.78,1606248.27,15.47,0.0544,0.0791,0.1530
717446.98,1606285.21,13.78,0.6694,0.1501,0.9094
717549.64,1606277.27,8.91,0.0699,0.0412,0.3752
717740.36,1606263.67,14.30,0.3874,0.7261,1.0109
717721.01,1606251.25,11.07,0.1550,0.6156,0.7666
717734.72,1606284.75,13.73,0.2917,0.4622,0.8785
717403.68,1606458.25,2.73,0.2660,0.1009,0.6878
717742.25,1606299.27,15.96,0.2529,0.2510,0.6190
717728.44,1606264.05,13.05,0.2312,0.5980,0.8487
717719.11,1606259.81,12.80,0.1672,0.6350,0.8451
717725.74,1606284.71,9.65,0.1692,0.3517,0.6935
717725.70,1606246.58,12.75,0.1280,0.4395,0.5072
717514.11,1606401.61,12.54,0.0241,0.0109,0.0629
717484.46,1606409.06,14.70,0.2206,0.0316,0.3780
717646.54,1606262.98,5.25,0.0394,0.0416,0.2645
717500.41,1606383.27,13.62,0.0146,0.1282,0.2242
717499.31,1606246.29,13.05,0.1721,0.1264,0.6278
717463.23,1606369.94,12.31,0.0199,0.0367,0.1030
717608.86,1606156.50,16.30,0.0104,0.0163,0.0698
717453.63,1606285.48,3.27,0.2470,0.0635,0.3973
717576.51,1606442.78,12.82,0.0789,0.0733,0.2918
717508.25,1606365.09,16.52,0.0183,0.0183,0.0678
717369.77,1606393.41,17.11,0.0615,0.0405,0.1532
717473.13,1606293.96,3.69,0.0389,0.0287,0.0762
717454.26,1606388.00,8.03,0.0587,0.1568,0.5315
717433.36,1606372.44,1.57,0.1752,0.2561,0.6491
717638.41,1606158.11,12.68,0.0255,0.0212,0.0895
717501.59,1606386.25,10.94,0.1879,0.1816,0.5622
717662.87,1606307.86,7.08,0.0169,0.0262,0.0780
717516.16,1606522.65,73.65,0.0182,0.0191,0.0487
717545.33,1606504.26,18.73,0.1828,0.0796,0.6122
717543.09,1606503.41,19.34,0.1858,0.0868,0.6809
717539.24,1606496.45,-0.45,0.0886,0.0731,0.4288
717466.98,1606374.29,10.65,0.0260,0.1704,0.4063
717584.51,1606371.61,3.77,0.1600,0.0737,0.3443
717468.64,1606235.93,19.46,0.0354,0.0838,0.1464
717516.04,1606273.03,13.74,0.0469,0.0378,0.1535
717726.85,1606244.27,12.03,0.2673,0.9141,1.0448
717540.48,1606523.00,5.12,0.0378,0.0184,0.1713
717444.90,1606388.07,3.62,0.0693,0.1110,0.3913
717513.80,1606264.16,11.31,0.0215,0.0409,0.0871
717550.46,1606290.14,20.88,0.0181,0.0125,0.0637
717473.10,1606245.47,19.81,0.0245,0.0563,0.1173
717433.75,1606284.31,-67.57,0.0739,0.1135,0.2284
717536.81,1606274.80,6.78,0.0248,0.0362,0.1672
717472.33,1606254.21,16.69,0.0345,0.0612,0.1609
717548.58,1606251.13,15.87,0.1086,0.1442,0.2864
717472.84,1606484.11,3.74,0.1612,0.1183,0.4469
717483.12,1606480.01,3.17,0.2091,0.2220,0.7559
717411.72,1606363.01,16.06,0.0257,0.1920,0.3663
717550.21,1606493.55,11.84,0.1393,0.0864,0.4446
717615.31,1606368.70,14.45,0.0328,0.0273,0.1368
717469.05,1606266.76,14.32,0.0468,0.0138,0.0897
717656.63,1606381.17,17.05,0.0968,0.1259,0.4285
717454.40,1606280.99,3.97,0.0250,0.0177,0.0590
717571.88,1606180.42,12.66,0.0302,0.0671,0.1773
717594.47,1606173.42,6.58,0.0268,0.0579,0.1851
717395.19,1606375.70,16.80,0.0587,0.1336,0.3261
717569.70,1606501.33,4.29,0.3136,0.0871,0.6842
717656.21,1606379.57,16.68,0.0518,0.0718,0.2533
717423.00,1606425.66,10.24,0.0474,0.0359,0.4153
717409.35,1606371.49,-6.78,0.0796,0.4821,1.2923
717506.55,1606280.48,95.38,0.0221,0.0158,0.0353
717457.10,1606302.09,16.29,0.2453,0.0872,0.4119
717450.43,1606299.26,19.06,0.1004,0.0292,0.1500
717688.61,1606306.80,14.12,0.0835,0.0424,0.3770
717625.00,1606296.67,5.73,0.1541,0.0627,0.4512
717544.71,1606324.05,7.62,0.1062,0.2301,0.5363
717421.20,1606429.43,12.23,0.0383,0.0392,0.3596
717494.76,1606328.84,4.35,0.0323,0.0341,0.0835
717691.27,1606314.80,15.11,0.0527,0.0230,0.2737
717460.19,1606264.85,9.27,0.1921,0.0528,0.3598
717611.78,1606293.57,14.55,0.0586,0.0256,0.2688
717465.99,1606311.46,4.48,0.2724,0.1538,0.5909
717577.18,1606445.31,13.83,0.2215,0.2448,0.8301
717560.42,1606466.95,17.71,0.1064,0.3863,0.7845
717618.82,1606215.36,6.94,0.0477,0.2381,0.6472
717570.60,1606452.85,12.74,0.1264,0.2056,0.5916
717525.43,1606187.43,12.76,0.0362,0.0974,0.1595
717526.33,1606282.88,6.18,0.0855,0.0377,0.2497
717388.74,1606371.22,13.43,0.0817,0.1651,0.3675
717440.56,1606253.11,15.54,0.0333,0.0362,0.0790
717488.38,1606259.65,7.68,0.0462,0.0246,0.1251
717631.79,1606222.57,6.83,0.0801,0.1506,0.4851
717474.52,1606258.58,16.63,0.0393,0.0222,0.1006
717587.34,1606081.61,6.40,0.3094,0.8393,1.1805
717635.29,1606163.80,16.06,0.0199,0.0220,0.0743
717712.48,1606270.12,13.19,0.1182,0.5578,0.8534
717607.47,1606409.63,-4.33,0.2279,0.6139,1.3224
717710.76,1606269.74,12.60,0.0908,0.4795,0.7351
717482.02,1606359.84,3.44,0.0265,0.0201,0.0452
717653.57,1606234.26,7.53,0.2032,0.1255,0.5913
717528.18,1606266.67,12.61,0.0715,0.0459,0.1988
717493.73,1606237.64,17.15,0.0248,0.1572,0.3143
717493.07,1606239.24,8.97,0.0637,0.4294,0.9616
717445.83,1606222.17,-0.23,0.4754,0.7752,1.3837
717468.49,1606227.72,12.78,0.1928,0.5873,1.0258
717442.43,1606226.33,0.25,0.2195,0.3062,0.5852
717488.09,1606464.62,12.43,0.0425,0.0763,0.1669
717611.71,1606308.12,4.50,0.0170,0.0257,0.0813
717478.02,1606481.98,3.40,0.0618,0.0828,0.2995
717521.61,1606518.71,6.81,2.8428,2.8193,1.9074
717660.52,1606293.66,12.61,0.1634,0.1468,0.5828
717554.00,1606506.71,-3.47,2.2068,2.5017,1.9597
717630.59,1606310.92,15.27,0.0222,0.0362,0.3206
717610.75,1606439.07,10.78,0.6559,0.7175,0.8565
717459.16,1606319.94,8.17,0.0431,0.0487,0.4821
717434.96,1606310.47,12.15,0.1683,0.1147,0.6044
717385.02,1606352.47,13.40,0.1779,0.4220,0.6918
717471.52,1606369.67,13.46,0.0143,0.0234,0.0765
717427.20,1606303.91,12.50,0.1712,0.1143,0.4848
717555.67,1606193.55,13.66,0.0430,0.1197,0.2420
717469.06,1606301.03,7.51,0.0196,0.0699,0.2830
717451.61,1606325.66,8.34,0.0366,0.0197,0.2594
717434.73,1606301.80,18.50,0.0473,0.0416,0.1552
717640.44,1606377.79,5.21,0.1469,0.0672,0.3657
717640.52,1606403.98,18.73,0.0230,0.0205,0.1418
717686.36,1606385.64,14.10,0.0168,0.0327,0.1917
717688.87,1606393.89,14.75,0.0326,0.0830,0.3500
717596.49,1606384.28,4.31,0.2671,0.0511,0.3758
717668.37,1606393.49,12.61,0.0984,0.1599,0.7237
717615.90,1606367.19,13.61,0.2350,0.0292,0.3986
717521.91,1606487.62,3.20,0.0329,0.0700,0.2597
717380.01,1606369.02,16.31,0.1638,0.2401,0.5192
717440.91,1606265.77,14.08,0.0378,0.0542,0.1066
717569.36,1606208.40,11.46,0.0195,0.0188,0.1049
717453.61,1606302.71,18.55,0.0386,0.0486,0.2087
717467.09,1606276.51,13.87,0.0356,0.1489,0.3418
717459.00,1606392.89,3.60,0.2270,0.2198,0.5647
717442.05,1606295.16,16.60,0.0594,0.0605,0.2126
717592.58,1606159.79,8.72,0.0614,0.3916,0.8414
717425.51,1606278.77,12.62,0.0959,0.0926,0.2326
717574.18,1606182.63,12.44,0.0338,0.0736,0.2494
717625.18,1606227.57,6.11,0.1135,0.0418,0.3411
717449.85,1606305.41,17.16,0.0985,0.0801,0.4414
717552.26,1606482.51,-33.25,0.0323,0.0250,0.1413
717649.72,1606195.33,5.83,0.4587,0.1399,0.8735
717520.59,1606324.40,7.40,0.2258,0.0485,0.5173
717454.08,1606278.08,13.69,0.0564,0.0989,0.2449
717536.47,1606471.99,3.11,0.1633,0.5978,1.0764
717450.43,1606291.30,19.94,0.0279,0.0309,0.1037
717434.18,1606272.95,16.42,0.0506,0.0551,0.1298
717444.46,1606276.54,14.41,0.0831,0.0964,0.2632
717532.73,1606481.61,3.72,0.0730,0.1105,0.4772
717474.79,1606274.63,10.34,0.0095,0.0157,0.0466
717632.99,1606355.81,6.40,0.0276,0.0837,0.1731
717598.52,1606332.68,4.25,0.0191,0.0178,0.0538
717521.86,1606262.56,12.31,0.0145,0.0960,0.1915
717527.53,1606260.48,11.15,0.0536,0.4431,0.8639
717498.84,1606248.31,12.85,0.0988,0.2426,0.3883
717509.64,1606258.13,11.80,0.0874,0.2919,0.5466
717536.37,1606270.61,12.09,0.0193,0.0719,0.1679
717549.18,1606271.72,14.15,0.0455,0.0879,0.2048
717494.39,1606252.97,7.04,0.1130,0.2324,0.4128
717541.87,1606289.96,19.72,0.1251,0.2092,0.8008
717517.05,1606273.10,13.58,0.0638,0.2524,0.6152
717458.34,1606319.95,8.56,0.0838,0.1087,0.2526
717605.08,1606266.94,21.35,0.0238,0.0304,0.0680
717546.65,1606329.89,5.29,0.3424,0.1743,1.0046
717578.02,1606375.26,8.17,0.1508,0.1031,0.4070
717473.42,1606270.80,2.76,0.0167,0.0189,0.0525
717462.46,1606245.44,-247.55,0.2897,0.1203,0.6946
717550.03,1606345.52,4.17,0.0340,0.0321,0.0954
717605.34,1606166.57,5.88,0.0434,0.1082,0.2730
717597.55,1606234.91,4.96,0.0602,0.1539,0.2581
717536.74,1606336.96,5.95,0.2977,0.2368,0.8457
717488.89,1606385.59,54.17,0.0151,0.0127,0.0335
717479.61,1606280.72,8.25,0.0902,0.0399,0.3037
717569.50,1606317.33,4.15,0.0465,0.0403,0.2028
717647.04,1606255.76,5.26,0.0936,0.1297,0.2920
717447.60,1606394.21,2.34,0.0184,0.0142,0.0819
717538.67,1606199.15,4.81,0.0867,0.1243,0.3059
717527.30,1606490.47,2.31,0.1108,0.2101,1.0542
717537.86,1606372.11,11.54,0.0271,0.0196,0.0645
717587.76,1606291.72,15.21,0.1054,0.0780,0.3048
717648.67,1606298.93,19.73,0.1127,0.1311,0.5813
717533.37,1606328.59,7.41,0.0635,0.0649,0.2061
717452.31,1606331.02,9.06,0.0864,0.0630,0.2059
717428.65,1606359.95,21.53,0.0170,0.0666,0.1484
717579.66,1606157.25,10.00,0.0376,0.2142,0.4187
717498.68,1606346.74,12.72,0.0461,0.0618,0.2366
717518.14,1606371.17,8.24,0.0160,0.0159,0.0587
717547.58,1606329.00,7.22,0.3848,0.2528,0.9833
717673.55,1606317.39,5.22,0.1805,0.0357,0.4771
717555.34,1606277.75,12.62,0.0786,0.0793,0.5596
717520.50,1606516.27,3.38,0.0561,0.3508,0.8481
717462.33,1606312.14,4.66,0.1938,0.2061,0.5527
717529.82,1606288.96,3.94,0.0418,0.0339,0.1475
717545.78,1606292.52,4.38,0.0188,0.0220,0.0627
717500.93,1606386.88,10.78,0.0251,0.0118,0.0840
717679.91,1606236.73,4.29,0.0527,0.0613,0.7040
717578.88,1606267.51,16.07,0.0575,0.0384,0.1639
717463.98,1606341.84,8.18,0.0193,0.0454,0.0953
717530.40,1606510.55,4.71,0.2322,0.2739,1.1363
717464.30,1606490.19,2.07,0.2063,0.0925,0.4760
717537.84,1606386.48,8.63,0.1518,0.1128,0.3654
717717.94,1606328.03,12.97,0.0378,0.0546,0.4025
717538.87,1606398.92,3.83,0.0102,0.0143,0.0404
717571.43,1606394.88,1.55,0.1204,0.0576,0.9605
717457.88,1606362.02,11.49,0.0523,0.0478,0.1952
717612.52,1606393.31,6.35,0.0159,0.0168,0.0575
717593.65,1606276.82,16.09,0.1307,0.0984,0.3267
717566.79,1606540.02,14.19,0.1124,0.0583,0.8540
717631.94,1606385.52,-29.21,0.1759,0.1415,0.5910
717652.58,1606305.28,14.56,0.1004,0.0457,0.6433
717478.94,1606284.95,3.80,0.0722,0.1278,0.2357
717478.29,1606319.22,8.13,0.0200,0.0161,0.0464
717634.14,1606407.20,-63.12,0.1221,0.1458,0.4739
717572.33,1606368.89,7.76,0.0544,0.0704,0.3978
717511.01,1606375.99,10.09,0.0236,0.0314,0.0777
717534.47,1606335.62,4.24,0.0153,0.0437,0.0868
717559.88,1606175.38,9.72,0.1926,0.2554,0.7570
717476.65,1606264.37,15.70,0.0128,0.0161,0.0493
717579.60,1606151.38,8.26,0.0539,0.3102,0.5728
717434.21,1606386.27,1.94,0.0465,0.0624,0.3714
717661.67,1606286.84,15.28,0.1058,0.0926,0.4511
717627.34,1606228.31,6.52,0.1583,0.0661,0.4622
717546.25,1606270.32,13.49,0.1028,0.0335,0.2104
717524.70,1606455.50,4.37,0.2457,0.6727,0.9739
717533.75,1606368.95,12.78,0.0401,0.0199,0.1449
717482.35,1606254.01,17.57,0.0703,0.0876,0.3144
717585.29,1606425.41,13.31,0.0972,0.3306,0.7089
717451.90,1606327.03,8.59,0.2015,0.3106,0.6373
717477.31,1606355.79,9.01,0.0661,0.0367,0.1789
717596.50,1606404.81,12.78,0.1068,0.4734,0.9661
717542.21,1606401.49,3.87,0.0197,0.0356,0.0849
717462.57,1606289.53,2.68,0.0685,0.0486,0.1326
717442.44,1606377.08,11.33,0.0641,0.0242,0.2046
717434.70,1606326.80,22.07,0.1999,0.0309,0.3235
717653.91,1606248.35,4.23,0.1122,0.3672,0.7299
717405.02,1606405.70,-375.17,0.9101,0.8379,4.9355
717530.35,1606280.54,10.96,0.0513,0.0168,0.1464
717475.62,1606505.27,5.94,0.1139,0.1042,0.3239
717536.45,1606339.46,4.07,0.0180,0.0248,0.0612
717543.05,1606182.68,8.53,0.1939,0.1354,0.4930
717506.03,1606257.11,11.88,0.0406,0.0682,0.2554
717491.92,1606243.73,7.84,0.0415,0.1545,0.4189
717430.73,1606409.26,9.76,0.0900,0.0931,0.2706
717458.73,1606264.11,8.42,0.0540,0.0750,0.1876
717477.04,1606401.34,15.30,0.0197,0.0520,0.1805
717646.46,1606301.43,21.25,0.0203,0.0175,0.1677
717492.97,1606418.59,10.52,0.0379,0.0691,0.1649
717577.76,1606529.79,16.55,0.2172,0.0926,0.9422
717473.25,1606403.05,14.52,0.0174,0.0239,0.1260
717475.10,1606267.42,2.47,0.0450,0.0333,0.1117
717516.01,1606292.72,6.87,0.0132,0.0118,0.0435
717626.51,1606260.85,5.24,0.0758,0.0537,0.3843
717539.47,1606181.17,10.11,0.2549,0.1824,0.6024
717486.80,1606272.12,3.87,0.0112,0.0120,0.0350
717443.41,1606339.95,9.61,0.0987,0.1167,0.2656
717574.34,1606265.62,6.24,0.0162,0.1370,0.2721
717466.31,1606369.24,11.63,0.2366,0.0576,0.4144
717554.42,1606282.49,4.96,0.0411,0.0479,0.4301
717560.57,1606380.01,12.99,0.0556,0.0450,0.1972
717520.14,1606341.94,8.44,0.0721,0.0889,0.6682
717505.29,1606364.02,10.87,0.1270,0.0579,0.5421
717482.84,1606272.41,8.72,0.0157,0.0097,0.0453
717463.82,1606311.81,3.52,0.0394,0.0532,0.1673
717526.02,1606318.70,7.08,0.0085,0.0087,0.0319
717469.16,1606351.01,9.32,0.2094,0.0277,0.3898
717545.56,1606499.91,-320.60,0.1437,0.5112,1.5624
717492.82,1606250.09,8.22,0.2818,0.2320,0.6535
717474.79,1606268.22,2.77,0.0435,0.0322,0.1197
717593.77,1606280.38,17.28,0.2338,0.1525,0.5736
717511.52,1606250.87,12.14,0.2740,0.3641,0.9866
717535.39,1606399.43,3.93,0.0322,0.1585,0.4370
717477.18,1606269.87,3.13,0.0284,0.0361,0.0946
717457.77,1606362.04,12.56,0.1337,0.0189,0.2054
717570.78,1606545.27,14.92,0.0720,0.0402,0.4226
717515.64,1606342.07,10.82,0.0238,0.0207,0.1578
717515.60,1606279.87,3.99,0.0099,0.0104,0.0316
717523.79,1606309.87,3.71,0.0230,0.0199,0.0671
717465.29,1606420.64,3.96,0.0162,0.1012,0.2446
717562.54,1606367.51,10.93,0.0407,0.0190,0.1406
717485.60,1606271.39,3.79,0.0130,0.0128,0.0375
717554.34,1606276.28,14.54,0.0832,0.1858,0.4242
717569.86,1606193.98,12.68,0.0637,0.0726,0.3715
717558.89,1606207.89,6.36,0.0714,0.3637,0.9231
717545.85,1606261.77,14.59,0.1684,0.1427,0.4143
717575.92,1606298.90,6.61,0.1319,0.0385,0.4392
717487.27,1606257.00,8.71,0.0905,0.1076,0.2475
717452.07,1606317.23,11.05,0.1719,0.0262,0.4170
717557.05,1606274.81,14.69,0.0499,0.0357,0.1593
717474.21,1606290.92,4.04,0.0107,0.0111,0.0302
717652.32,1606311.54,11.76,0.2028,0.0325,0.3859
717622.44,1606312.15,13.67,0.0282,0.1094,0.4227
717528.63,1606335.12,3.99,0.0347,0.0281,0.1129
717600.22,1606261.99,20.82,0.0324,0.0154,0.0928
