Name,Latitude,Longitude,AbsAlt,RltAlt,Pitch,Roll,Yaw,StdHorizon,StdHeight,Q,Date,Time
00041,13.79502131,100.80371042,0.000,0.299,-44.99,-0.03,58.02,1.74050288187064,3.30206,16,2023.03.17,18.13.43.869332
00042,13.79502153,100.80371080,0.000,0.330,-89.98,0.56,147.44,1.74050288187064,3.30206,16,2023.03.17,18.13.43.869819
00043,13.79502182,100.80371051,0.000,0.299,-44.98,0.01,147.99,1.74050288187064,3.30206,16,2023.03.17,18.13.43.870022
00044,13.79502122,100.80371093,0.000,0.299,-45.02,-0.01,-31.99,1.74050288187064,3.30206,16,2023.03.17,18.13.43.870419
00045,13.79502173,100.80371102,0.000,0.299,-45.01,0.03,-122.02,1.74050288187064,3.30206,16,2023.03.17,18.13.43.870892
00046,13.79502211,100.80371052,0.000,0.262,-44.99,-0.03,58.02,1.76123939670336,3.30015,16,2023.03.17,18.13.46.269311
00047,13.79502233,100.80371090,0.000,0.293,-89.98,0.56,147.44,1.76123939670336,3.30015,16,2023.03.17,18.13.46.269790
00048,13.79502262,100.80371061,0.000,0.262,-44.98,0.01,147.99,1.76123939670336,3.30015,16,2023.03.17,18.13.46.269996
00049,13.79502202,100.80371103,0.000,0.262,-45.02,-0.01,-31.99,1.76123939670336,3.30015,16,2023.03.17,18.13.46.270399
00050,13.79502253,100.80371112,0.000,0.262,-45.01,0.03,-122.02,1.76123939670336,3.30015,16,2023.03.17,18.13.46.270884
00051,13.79503845,100.80370680,0.000,0.529,-45.00,-0.01,58.01,2.32741870070686,4.38983,16,2023.03.17,18.16.07.307938
00052,13.79503867,100.80370718,0.000,0.560,-89.99,0.00,148.00,2.32741870070686,4.38983,16,2023.03.17,18.16.07.308222
00053,13.79503896,100.80370689,0.000,0.529,-44.99,0.00,148.00,2.32741870070686,4.38983,16,2023.03.17,18.16.07.308606
00054,13.79503836,100.80370731,0.000,0.529,-45.01,0.00,-32.00,2.32741870070686,4.38983,16,2023.03.17,18.16.07.309406
00055,13.79503887,100.80370740,0.000,0.529,-45.00,0.01,-122.01,2.32741870070686,4.38983,16,2023.03.17,18.16.07.310581
00056,13.79503920,100.80370612,0.000,0.395,-45.00,-0.01,58.01,2.47453303154353,4.51579,16,2023.03.17,18.16.10.747904
00057,13.79503942,100.80370650,0.000,0.426,-89.99,0.00,148.00,2.47453303154353,4.51579,16,2023.03.17,18.16.10.748184
00058,13.79503971,100.80370621,0.000,0.395,-44.99,0.00,148.00,2.47453303154353,4.51579,16,2023.03.17,18.16.10.748576
00059,13.79503911,100.80370663,0.000,0.395,-45.01,0.00,-32.00,2.47453303154353,4.51579,16,2023.03.17,18.16.10.749385
00060,13.79503962,100.80370672,0.000,0.395,-45.00,0.01,-122.01,2.47453303154353,4.51579,16,2023.03.17,18.16.10.750576
00061,13.79503541,100.80370327,0.000,0.376,-44.99,-0.01,58.01,2.27772842000534,4.05796,16,2023.03.17,18.16.48.427470
00062,13.79503563,100.80370365,0.000,0.407,-89.99,0.57,147.43,2.27772842000534,4.05796,16,2023.03.17,18.16.48.427734
00063,13.79503592,100.80370336,0.000,0.376,-44.99,0.01,147.99,2.27772842000534,4.05796,16,2023.03.17,18.16.48.428178
00064,13.79503532,100.80370378,0.000,0.376,-45.01,-0.01,-31.99,2.27772842000534,4.05796,16,2023.03.17,18.16.48.429098
00065,13.79503583,100.80370387,0.000,0.376,-45.01,0.01,-122.01,2.27772842000534,4.05796,16,2023.03.17,18.16.48.430482
