A0619 H_23.52000_15.68000
11433 -3.14957 6.75900
11434 -3.94690 -0.08459
11435 -5.57703 7.40033
11553 -7.56339 1.48741
11555 -10.97779 4.86686
11556 -9.85512 4.99270
11557 -10.13204 2.97832
11558 -11.35029 5.94989
11559 -8.05143 1.51856
11560 1.72155 -5.63946
11561 -9.33770 4.11117
11564 -11.16196 2.24572
11565 -9.00293 6.01433
11567 -5.97841 -0.25835
11568 -0.97436 4.45668
11569 -3.28271 -0.05569
11570 -0.52629 -4.08382
11573 -7.10388 5.27864
11575 5.41829 -3.15884
11577 -3.10765 -1.44647
11580 -6.31457 0.67991
11581 0.56534 -6.93423
11584 -4.49618 -1.48851
11585 -6.95315 0.55196
-99
D0638 H_23.52000_15.68000
10828 -10.06334 -0.94804
10837 -11.03566 -3.72970
10982 -11.26028 -7.24941
10991 -6.66906 0.32605
10995 -10.70877 -6.96314
11002 -6.25723 1.01631
11107 -10.90025 2.38358
11121 -5.85872 -6.15672
11140 -3.89833 1.44281
11142 -10.19040 -3.77609
11144 -10.84543 -4.31855
11268 -7.71218 -4.49312
11269 -10.56026 0.26730
11270 -4.88267 -6.55711
11273 -7.18093 6.19080
11276 -9.14292 -1.20855
11277 -9.40623 4.79817
11279 -6.49683 3.59000
11281 -10.87714 6.61901
11284 -7.25241 -6.74594
11285 -9.24769 1.42708
11287 -9.44054 4.51049
11288 -5.46987 -0.47038
11289 -2.56440 -3.26971
11292 -6.34878 1.51362
11294 -8.80678 -1.73673
11295 -3.06612 5.65756
11300 -9.75713 -5.11495
11443 -4.59777 -4.02366
11446 1.03131 2.66808
11447 2.41909 1.17716
11449 5.66130 -2.82918
11451 6.47307 -0.55717
11452 -2.92299 1.63577
11454 -0.24553 -5.97395
11455 -3.52684 0.76027
11456 -1.88819 5.80225
11457 5.33969 -5.98114
11458 -6.50930 6.94454
11460 -4.70383 -7.14854
11461 -5.21549 -5.11888
11462 -6.76688 4.40759
11463 -5.82009 -3.04357
11588 9.21309 -4.92167
11589 -2.73595 5.47314
11593 9.72198 -4.71420
11594 -4.36961 -5.82828
11595 -1.99866 -2.59574
11596 3.15339 -3.20718
11598 -4.28067 7.14521
11599 -5.82484 -1.59948
11600 4.39668 -1.81076
11602 -5.32811 2.73941
11604 -5.97976 -1.38395
-99
S0638 H_23.52000_15.68000
5988 4.46807 -7.45046
5989 7.23507 -7.17475
5992 11.60565 -7.47952
5993 6.51200 -6.63345
6071 10.29804 -5.84568
6086 9.35657 -6.14766
6087 10.46735 -2.27096
6335 -10.02935 -6.05674
6766 6.14117 -4.89496
6839 -6.63617 1.25483
7039 3.57775 -7.66456
7807 9.88470 7.17143
7812 4.44705 7.24845
7815 3.77398 1.05746
7819 4.28695 1.56194
7821 4.95524 1.74616
7823 9.23966 3.30251
7828 6.04363 1.60635
7829 4.13629 3.79100
7832 5.77129 3.67822
7834 6.69955 4.82216
7836 6.86882 5.20131
7839 1.56571 5.24894
7840 4.65534 6.06695
7841 4.99033 5.28843
7842 3.24697 4.20405
7843 8.78326 6.35377
7844 8.60227 6.39533
7845 -7.25982 5.03068
7846 3.59731 4.51738
7847 5.48337 4.89152
7851 4.80028 6.17357
7852 5.89090 7.33689
7882 3.44855 3.41972
7889 4.73899 -0.23170
7890 7.19446 1.05792
7891 9.43603 0.31142
7892 8.20067 1.22250
7893 5.71348 0.87446
7894 7.64723 -0.06089
7895 4.99680 -0.23224
7896 5.83307 -0.19921
7897 8.66887 2.55105
7898 -11.19137 3.47108
7900 6.61034 0.17489
7902 10.12080 3.45854
7903 7.52235 2.42467
7904 6.40200 -1.34649
7905 4.24774 -1.66217
7907 10.42134 3.30894
7908 4.18786 -2.32790
7909 5.17776 -1.90665
7910 10.81343 6.58948
7912 4.27972 -0.73220
7915 11.19587 6.29696
7916 -1.21187 -2.40913
7917 11.40429 0.26796
7918 11.02125 0.90180
7919 -2.64143 -4.00062
7921 -4.95120 -4.09321
7928 -8.57471 4.39154
7932 -9.97711 -0.52772
7938 -11.53191 7.22742
7940 -10.38265 -0.03331
7941 -8.72976 0.03932
7948 10.56684 -3.22555
7952 4.63288 -3.08089
7953 6.41338 -2.90244
7954 7.08036 -2.48582
7961 9.56130 -1.64046
7963 8.01260 -3.40770
7964 -7.54024 -1.88910
7967 -11.53481 2.17617
7978 10.81595 7.27967
7985 3.57285 -4.88766
7987 -9.49175 -6.28932
7989 -2.37239 -3.95171
7990 -6.36696 -2.75181
7992 -2.32149 -6.34506
7997 5.12440 -2.67825
7999 -6.89242 -3.50435
8000 -7.00569 -4.76549
8137 -4.85025 -2.65255
8174 -7.38708 -1.57663
8449 -0.34693 7.27593
8546 -8.81224 7.10938
8568 -6.19894 7.07365
8608 0.00667 7.45618
8630 -1.64765 7.67056
8695 -8.12263 6.57077
8696 -3.06627 6.09219
8698 -3.12440 4.98443
8699 -0.81336 2.89019
8700 -2.69777 3.76430
8701 -0.15670 2.46894
8702 -3.00276 2.96020
8703 -1.38515 3.65529
8704 -8.18967 6.41006
8706 -7.14507 3.86161
8719 -4.59175 -0.33413
8722 -10.20314 -1.57438
8729 -7.19705 3.16674
8732 -7.75057 3.19410
8733 -5.23832 0.66993
8741 -8.31611 7.01349
8742 -3.89527 1.81432
8744 -4.89054 0.97287
8745 -6.99460 7.12952
8746 -4.48876 0.64266
8747 -4.81758 3.35795
8748 -4.54742 0.91809
8749 -7.75759 6.42587
8754 -4.47993 5.18657
8755 -4.41177 5.53413
8756 -5.97326 5.46234
8757 -4.17744 5.29638
8762 -5.35430 4.50212
8764 -7.13062 3.01010
8767 -0.76241 5.40523
8768 -0.47460 4.35921
8769 -3.50565 6.37927
8770 -1.30076 6.20988
8775 -1.62282 1.75891
8776 -2.66067 0.72136
8777 0.22720 4.02165
8779 -2.75663 1.72789
8780 0.65437 -0.68027
8782 0.84523 2.63410
8783 2.01092 3.63756
8784 1.78666 2.84644
8785 1.89988 2.50606
8786 2.82796 0.58184
8787 2.93517 2.83363
8788 1.93664 4.99525
8790 2.37064 0.02868
8791 0.68480 -2.73004
8792 2.15358 -2.49579
8793 1.87730 -2.98593
8794 2.63139 -1.49248
8795 2.16521 -3.71620
8796 2.55211 5.81994
8797 -1.77671 -2.31853
8798 -8.23461 -5.48174
8799 -7.21025 4.14162
8800 -7.50856 -4.05580
8801 0.44040 -6.47200
8802 -0.08065 -6.54215
8803 0.25170 -6.11756
8804 -0.01869 -6.23206
8805 -0.45432 -5.78387
8806 2.24659 -4.64467
8807 -4.68727 -6.31802
8808 0.86755 -5.98084
8809 -0.74433 -5.18668
8810 -5.95210 -7.64209
8811 -7.41565 -7.70173
8812 -7.84461 -5.70644
8813 -5.84139 -7.33824
8814 -6.62984 -7.41371
8815 -5.13239 -7.09961
8816 -6.71511 -6.36940
8822 -2.65838 -3.88822
8824 -9.27370 -3.42545
8825 1.13835 -1.80311
8826 0.55755 -2.66813
8827 -3.62564 -2.27253
8829 -0.53218 -3.65375
8830 1.04520 1.94905
8831 -10.24453 -0.75672
8832 0.32426 -2.25700
8833 -0.75645 -2.45686
8834 0.16453 -2.50263
8835 -1.06807 -2.41523
8836 -4.99544 -2.14270
8837 -1.84153 -1.45714
8838 -4.27016 -1.53308
8839 0.26767 -0.69153
8840 1.11458 2.76750
8841 1.38801 2.73484
8842 -11.28505 -2.71253
8844 1.32982 6.33151
8845 -0.64946 -2.92980
11150 -6.83891 4.94899
11158 4.03054 4.90866
11159 -4.18105 7.73034
11305 -5.15329 3.92109
11308 -7.26331 2.67979
11477 -0.22178 -2.82332
11605 -5.50228 0.12831
11606 -3.35274 0.67919
20484 6.72729 -7.58258
33938 0.07406 -7.20334
-99
W0638 H_23.52000_15.68000
10591 -4.46755 1.99834
10592 -5.41074 4.89588
11167 -1.89697 7.04380
11173 -5.60568 6.93942
11175 -7.70831 6.31002
11178 -2.32479 5.11011
11186 -3.04662 4.78963
11187 -4.55022 7.35274
11188 -2.47013 4.90971
11315 -7.79105 4.87601
11319 -6.84502 1.79928
11329 -1.66649 3.85302
11331 -2.69614 1.69146
11336 1.57400 4.86222
11338 -9.40270 1.32316
11341 -2.62473 2.53707
11343 -5.28270 2.92703
11348 -5.71244 0.71257
11482 4.48858 5.51757
11483 0.17102 6.82094
11484 -4.66012 -1.17956
11485 -2.33396 -1.35941
11486 -3.28080 0.48230
11487 -10.12548 0.90158
11488 -8.20083 -1.10338
11489 -3.39822 -0.21967
11490 -8.15886 -0.12814
11492 -3.82129 -1.88550
11493 -2.71173 -0.11726
11494 -6.60813 -1.73960
11495 -7.43994 -1.90981
11496 -6.24925 -1.65310
11498 -2.03412 1.93539
11499 1.82828 -1.66795
11500 0.52751 -0.65330
11501 -5.77692 4.29356
11608 -5.67087 -3.39729
11609 4.23173 1.06221
11610 -4.97906 -7.44398
11611 5.72728 -6.26980
11612 -3.34621 -4.30580
11613 4.44956 -4.87534
11614 -7.24908 -6.28002
11615 5.27327 -4.97162
11616 7.39064 -5.63086
11617 -2.74375 -4.48111
11618 0.88314 3.70947
11619 3.10507 -3.26593
11620 -1.55941 -5.22144
11621 -9.11920 0.08937
11622 4.81799 1.38373
11623 -3.67561 -7.60760
11624 1.97702 -7.15086
11625 -6.63330 -5.70072
11626 -0.79792 -5.41237
11627 4.63835 -1.57913
11628 3.29703 -2.49356
11629 10.35713 -4.81958
11630 2.32540 -6.82340
11631 -1.90780 -6.31952
11632 0.15575 2.77989
11633 -1.51379 -2.32146
11634 0.35063 -6.18902
11635 0.87705 1.07590
11636 -4.67420 -1.20240
11637 -7.60717 -4.86624
11638 5.83681 -0.75250
11639 6.06768 -7.14005
11640 3.03855 -6.52338
11641 0.48451 -5.05308
11642 7.24534 -6.48367
11644 8.84163 -3.54082
11645 -9.18653 -6.41847
-99
X0638 H_23.52000_15.68000
10929 -4.18540 -7.07570
11198 -4.06565 -0.01311
11216 -2.08018 -1.55182
11219 -4.19737 -1.67832
11220 -3.63851 -1.89394
11226 -5.86909 -1.07745
11356 -5.57624 1.32300
11358 -2.70589 -4.69574
11360 -4.63460 3.34751
11361 -0.04029 -4.33839
11362 2.95892 2.36647
11372 -4.16758 3.02123
11374 -0.62862 -4.05643
11378 -1.06719 0.61533
11379 -0.84799 2.88000
11381 -0.67547 -5.74479
11384 -4.59083 -3.38981
11386 0.02239 -6.53146
11388 -4.84638 2.82079
11389 -3.61095 2.99273
11395 2.24539 -1.71488
11399 -4.87691 -4.06778
11400 -3.38723 -6.81630
11506 -2.20425 -2.20253
11507 0.67129 -5.81504
11508 -5.19732 3.37416
11511 -4.77261 -7.37212
11512 -5.50113 -5.27004
11513 -9.50920 0.58348
11514 -5.93703 4.28730
11515 -2.76286 3.29662
11516 -2.00728 -6.79646
11517 -3.24873 -3.12228
11519 7.14885 -3.63091
11521 -3.73512 -3.64682
11522 -3.77263 -3.74054
11523 2.49401 4.36776
11524 -10.10044 -4.38079
11531 -6.29408 1.29209
11646 -0.33317 4.77968
11647 -7.83388 6.05511
11648 -5.27079 6.42256
11649 -1.74197 5.48678
11650 -6.70813 5.04739
11652 4.74260 4.11941
11653 -7.56536 4.86462
11654 -2.43213 5.44804
11655 -4.39122 7.40941
11657 -1.90688 5.81388
11660 -3.57208 7.34385
11661 -9.49350 7.06146
11662 9.08088 -1.37178
11665 -8.63357 4.18301
11666 -4.86387 -3.89388
11667 -6.62535 7.52036
11668 1.14268 -2.76168
11669 1.35087 -3.67079
11671 1.66878 6.72709
11672 0.53638 4.32383
11676 2.07339 -1.36331
11677 9.70023 -1.46739
-99
A0639 H_23.52000_15.68000
11410 3.78717 3.03586
11411 -0.33893 -0.78521
11415 -3.28214 3.89736
11416 -1.24547 4.63875
11425 -2.33260 5.51060
11430 -0.17462 -1.08494
11553 -4.54399 2.33339
11556 -7.18967 5.76286
11557 -7.31888 3.74325
11558 -8.76795 6.68754
11559 -5.06904 2.36491
11560 5.50740 -4.38955
11561 -6.58702 4.89785
11562 -4.34992 3.52488
11564 -8.31904 3.01077
11565 -6.36551 6.79579
11567 -2.79431 0.65672
11568 1.74308 5.39353
11569 0.16556 0.98842
11570 3.11934 -2.94648
11573 -4.48109 6.08383
11575 9.01455 -1.85741
11577 0.32366 -0.44030
11581 4.47663 -5.67344
11681 -4.25138 5.87188
11682 -4.88549 2.66032
-99
D0639 H_23.52000_15.68000
11138 -6.42792 -0.25621
11279 -11.39036 2.77710
11289 -7.87795 -4.14734
11292 -11.40002 0.65260
11295 -7.67397 4.97871
11297 -5.57379 -4.72723
11441 -6.46718 -3.23229
11443 -10.20601 -5.03421
11446 -3.71819 2.02327
11452 -7.88476 0.86574
11454 -5.68253 -6.88898
11455 -8.55026 -0.05094
11458 -11.12080 6.20460
11462 -11.59373 3.60252
11463 -11.41187 -4.03953
11588 4.07130 -5.54496
11589 -7.34690 4.77776
11590 5.65199 0.93771
11593 4.58053 -5.29211
11594 -10.10481 -6.88636
11595 -7.24011 -3.45411
11596 -1.97987 -3.93231
11597 5.06639 -0.16687
11598 -8.82449 6.45748
11599 -11.26647 -2.55746
11600 -0.62018 -2.45885
11689 2.34635 -7.16927
11690 4.53091 -2.05885
11691 -5.85417 0.87178
-99
S0639 H_23.52000_15.68000
3608 -5.54459 -1.02275
3776 -4.63403 -4.49022
3778 0.45205 -7.58453
3779 -3.11347 -6.33610
3780 -0.00468 -7.18217
3844 -4.96601 -6.46585
3848 -0.74196 -3.99121
3851 1.42575 -5.58975
4845 -8.42940 -6.39907
4860 -10.02293 6.21992
4866 -10.79990 -4.29433
5933 -7.62191 3.10857
5935 -5.29699 -1.91425
5950 2.78810 -0.62237
5958 -11.07046 4.18103
5988 3.87307 -3.76494
5989 6.67193 -3.42874
5992 11.11753 -3.69063
5993 5.89756 -2.90874
6071 9.71898 -2.00571
6086 8.76835 -2.33306
6087 9.73441 1.62027
6335 -10.90896 -2.55024
6766 5.47650 -1.12663
6839 -7.72011 5.09893
7039 2.97331 -4.02700
7416 -0.29543 3.42051
7417 -0.99468 -3.96380
7418 -1.63970 -1.64733
7815 2.83102 4.89953
7819 3.32957 5.41295
7821 3.98931 5.61742
7823 8.23665 7.25957
7828 5.09460 5.49304
7829 3.09670 7.63860
7832 4.74218 7.56251
7882 2.41903 7.24479
7889 3.85469 3.61332
7890 6.27522 4.96770
7891 8.55313 4.31879
7892 7.28032 5.14205
7893 4.79710 4.75379
7894 6.77790 3.86256
7895 4.10508 3.61591
7896 4.94835 3.67685
7897 7.69616 6.48391
7900 5.72866 4.06388
7902 9.11445 7.41924
7903 6.55677 6.34457
7904 5.57539 2.51850
7905 3.41520 2.15770
7907 9.42110 7.27156
7908 3.38722 1.48004
7909 4.35832 1.91818
7912 3.40942 3.09652
7917 10.55045 4.24026
7918 10.13995 4.87092
7919 -3.52492 -0.12395
7921 -5.85579 -0.22367
7940 -11.38657 3.42876
7948 9.87210 0.67078
7952 3.84116 0.72089
7953 5.63997 1.00790
7954 6.30989 1.44101
7961 8.77998 2.26515
7963 7.29149 0.43591
7977 -6.61121 3.53398
7985 2.78733 -0.77070
7987 -10.38991 -2.79715
7989 -3.24374 -0.09508
7990 -7.30637 0.98771
7992 -3.13595 -2.50447
7997 4.33952 1.12001
7999 -7.78799 -0.00629
8000 -7.88606 -1.25013
8137 -5.75344 0.93587
8694 -0.74196 -3.99121
8699 -1.83719 6.61462
8700 -3.76065 7.42503
8701 -1.17188 6.21173
8702 -4.03678 6.62929
8703 -2.44288 7.35692
8707 0.73645 -4.35362
8719 -5.54621 3.25324
8722 -11.20629 1.96602
8729 -8.23669 6.69472
8732 -8.81295 6.70254
8733 -6.22120 4.24100
8742 -4.90372 5.44540
8744 -5.88085 4.55883
8746 -5.47292 4.22652
8747 -5.86737 6.97002
8748 -5.53612 4.52902
8764 -8.18039 6.52830
8773 -9.67415 -3.81600
8775 -2.62283 5.46270
8776 -3.62900 4.38897
8779 -3.78368 5.41232
8780 -0.24999 3.05806
8781 -0.19992 3.37095
8782 -0.16143 6.39763
8783 0.97236 7.41329
8784 0.77329 6.65064
8785 0.89385 6.30815
8786 1.89125 4.39213
8787 1.92920 6.65453
8789 1.78771 4.07014
8790 1.45571 3.81818
8791 -0.15047 0.98008
8792 1.32343 1.25270
8793 1.07010 0.75673
8794 1.77516 2.29720
8795 1.38713 0.01418
8797 -2.65222 1.33399
8798 -9.10297 -1.96909
8799 -8.28064 7.65942
8801 -0.26628 -2.87015
8802 -0.79231 -2.94700
8803 -0.46681 -2.50575
8804 -0.73352 -2.62957
8805 -1.20265 -2.17858
8806 1.50073 -0.94020
8807 -5.55632 -2.52221
8808 0.15871 -2.34425
8809 -1.50885 -1.57861
8810 -6.76410 -4.01628
8811 -8.24004 -4.13469
8812 -8.70351 -2.24008
8813 -6.65143 -3.70695
8822 -3.53868 -0.02169
8824 -10.21988 0.19950
8825 0.27867 1.93596
8826 -0.27534 1.03461
8827 -4.51748 1.30825
8829 -1.34670 0.00371
8830 0.04742 5.71615
8831 -11.24693 2.73945
8832 -0.52577 1.45318
8833 -1.61153 1.22772
8834 -0.68224 1.19863
8835 -1.92650 1.25774
8837 -2.76865 2.29963
8838 -5.18733 2.04019
8839 -0.63653 3.03885
8840 0.10097 6.53849
8841 0.37281 6.52521
8845 -1.49616 0.76793
8859 -8.54653 -4.94947
8860 -5.34863 -2.16499
11305 -6.22549 7.49950
11308 -8.30811 6.19305
11477 -1.06332 0.85791
11605 -6.46007 3.67366
11693 5.18110 -3.98609
-99
W0639 H_23.52000_15.68000
10859 8.50431 -7.05061
10862 5.69028 -5.62766
11319 -8.38740 4.59294
11323 -5.97756 4.48290
11329 -3.50045 6.48539
11331 -4.47504 4.58521
11343 -6.92670 5.64359
11485 -4.08466 1.87768
11486 -5.01639 3.51856
11489 -5.12151 2.86011
11492 -5.49179 1.40925
11496 -7.79538 1.60623
11497 -3.42107 1.85782
11499 -0.24069 1.81195
11500 -1.44219 2.63563
11501 -7.40101 6.83136
11502 -6.11960 2.66064
11608 -7.20872 0.05215
11609 2.04895 4.13260
11610 -6.51670 -3.41949
11611 3.45460 -2.28159
11612 -5.02002 -0.69954
11613 2.23554 -0.97109
11614 -8.65281 -2.46075
11615 3.02053 -1.06379
11616 4.99715 -1.72160
11617 -4.46669 -0.76794
11618 -1.11549 6.41250
11619 0.96116 0.45539
11620 -3.34143 -1.39476
11621 -10.52386 3.15805
11622 2.56125 4.48848
11623 -5.29917 -3.54242
11624 -0.03894 -3.06433
11625 -8.09606 -1.95078
11626 -2.62171 -1.61676
11627 2.37836 1.93285
11628 1.11905 1.13712
11629 7.76222 -0.97197
11630 0.28903 -2.77975
11631 -3.64511 -2.41454
11632 -1.76729 5.58597
11633 -3.31979 1.07738
11634 -1.53673 -2.26642
11635 -1.11091 4.11532
11637 -9.01159 -1.22706
11638 3.55161 2.56289
11639 3.74770 -3.03156
11640 0.94647 -2.50412
11641 -1.42998 -1.28853
11643 -5.37196 -0.49429
11644 6.33996 0.14800
11645 -10.50502 -2.46156
11696 -5.74474 4.53503
11697 -2.93130 -7.35209
11698 -2.29327 -6.78301
11700 -4.67867 -5.64526
11701 -6.34528 -3.47786
11702 -3.50949 -0.41115
33949 1.11208 -5.33632
-99
X0639 H_23.52000_15.68000
11204 -4.52383 -3.20895
11210 -4.90126 -3.78618
11220 -3.87866 -5.02502
11226 -6.29929 -4.14839
11351 2.98428 -2.48028
11353 -3.57619 -0.14095
11374 -0.51697 -7.46338
11378 -1.23072 -2.07479
11379 -1.10695 0.51906
11382 1.85502 0.53858
11384 -4.84591 -6.80578
11388 -5.37474 0.34517
11506 -2.31429 -5.34848
11513 -10.32738 -2.34845
11514 -6.61181 1.95481
11515 -3.16818 0.94454
11517 -3.40997 -6.45165
11519 7.85181 -6.73885
11528 -3.84017 -0.27950
11529 2.45615 -3.71270
11532 5.99330 -4.61419
11646 -0.65798 2.66027
11647 -8.70271 3.92710
11648 -5.98638 4.40955
11649 -2.18160 3.43754
11650 -7.45526 2.83277
11651 3.35533 3.41063
11652 4.79978 2.08312
11653 -8.36010 2.60752
11654 -2.90686 3.36815
11655 -5.08412 5.55595
11657 -2.34651 3.79723
11659 1.36638 3.27628
11660 -4.21967 5.50175
11661 -10.51943 5.02237
11662 9.78282 -4.06605
11664 0.57044 -0.21100
11665 -9.50635 1.79230
11666 -5.11765 -7.41024
11667 -7.47208 5.55212
11668 1.32232 -5.90523
11669 1.60529 -6.95492
11671 1.40077 4.85940
11672 0.30789 2.16524
11673 1.42706 -1.99271
11675 0.12745 1.60418
11676 2.27404 -4.26417
11677 10.45634 -4.14304
11704 1.81241 -6.12615
11706 2.04811 2.13568
11708 0.97400 -3.70077
11709 0.81208 -5.83187
11710 2.58582 -1.31222
11711 0.96421 6.11088
11712 -1.22877 6.32116
11713 3.57088 5.94708
11714 3.08801 -6.43304
-99
A0640 H_23.52000_15.68000
11290 7.10018 -3.21733
11301 6.66383 3.75960
11717 6.69530 -1.23607
11718 7.11597 2.85210
11722 6.54702 0.29976
11724 2.79050 -4.93190
11725 5.59680 -2.85442
11726 -1.04070 -1.90616
11728 7.13863 3.45363
11729 4.48945 -0.70199
11731 5.97597 -2.82356
11734 3.23126 -5.37162
11735 7.24318 0.92925
11736 -0.14014 2.76221
11737 7.45475 4.47597
11740 6.81560 1.67569
11743 3.43802 -2.55236
11744 7.22913 -1.17372
11745 6.35295 -4.27296
11747 4.67575 3.45391
11753 0.70050 -2.21174
11755 7.54357 5.82140
11757 1.78132 -5.22930
11758 6.82257 6.70790
11759 -1.37397 -4.76480
11760 3.26734 2.27465
11763 5.02091 0.79034
11767 4.36904 7.06781
11771 2.94323 -6.57331
-99
D0640 H_23.52000_15.68000
11408 9.91892 -0.14870
11554 8.30401 -2.70024
11572 10.29291 -2.02659
11574 7.27605 -0.55308
11578 5.83878 -0.02510
11582 8.90574 2.17046
11583 6.59531 -4.26137
11778 10.14232 -2.38384
11779 9.25010 4.58617
11781 10.79227 4.96777
11782 10.14299 -0.40125
11784 5.53002 3.63180
11785 5.90876 3.26624
11786 9.72191 5.99422
11787 3.43917 3.94633
11789 7.13199 5.46081
11790 9.34616 -6.69284
11791 10.83352 2.10519
11792 10.58633 -3.87352
11794 11.04347 4.27939
11795 8.02176 6.17814
11796 6.91371 2.47446
11797 5.18622 -1.99274
11799 8.48343 4.99096
11800 11.30255 -5.59025
11801 7.33608 1.42705
11802 8.61737 -4.61272
11803 6.34455 5.76555
11804 3.87899 -1.04072
11806 6.30418 3.84605
11807 6.20862 1.24397
11811 7.71129 7.17313
-99
S0640 H_23.52000_15.68000
3298 0.99253 -6.86023
3563 -0.46037 3.56116
3602 -0.18704 4.34119
3610 -3.31976 6.29160
3613 0.45593 7.30695
3618 -3.07574 -0.46669
3663 -0.61595 7.38120
3674 5.19523 -2.67448
3675 4.65004 -0.15565
3681 1.18550 6.96410
3692 -1.70320 7.58445
3790 4.06276 -0.18492
3840 0.58692 4.11170
3842 3.88900 2.80384
3844 0.17693 5.98027
3848 -4.42390 5.29166
3851 -5.81932 7.63927
4833 5.06523 0.51299
4845 3.46779 4.62882
4860 0.45120 -7.43604
4866 4.85792 1.75983
5950 -9.43542 3.23926
5958 1.98796 -6.05067
5988 -8.81581 6.80379
5989 -11.52610 7.52124
5993 -10.99778 6.72391
6766 -11.22248 4.86679
7039 -7.87440 6.70843
7784 5.47869 -6.49602
7815 -10.84297 -1.72969
7819 -11.45916 -2.01422
7842 -11.27158 -4.79692
7882 -11.23141 -4.00079
7889 -11.35777 -0.18612
7895 -11.59267 -0.09370
7905 -10.46866 1.01426
7908 -10.19739 1.62707
7909 -11.25609 1.57483
7912 -10.78528 0.13067
7985 -9.40782 3.36490
7987 3.83210 0.52335
7989 -3.88511 0.58873
7990 -0.49070 -1.86017
7992 -3.17905 2.86465
7997 -10.94222 2.33085
7999 0.60326 -1.04277
8000 1.09585 0.05475
8137 -1.66249 -1.19369
8698 -5.65630 -7.54898
8699 -7.15072 -4.93891
8700 -5.67158 -6.33734
8702 -5.15114 -5.72084
8703 -6.84587 -5.79401
8707 -5.83362 6.14429
8719 -2.60316 -3.20520
8722 2.85973 -4.10723
8724 3.78933 -5.74302
8726 3.45289 -6.01886
8727 5.19862 -4.20472
8732 -0.82252 -7.44929
8742 -3.95812 -4.95795
8744 -2.75402 -4.50957
8746 -3.00732 -4.06766
8747 -3.58963 -6.64340
8748 -3.05816 -4.35318
8764 -1.33307 -7.06660
8767 -7.94125 -7.18179
8768 -7.90097 -6.14931
8773 3.56074 1.72917
8774 0.89493 -0.36923
8775 -6.04940 -4.17159
8776 -4.75973 -3.56504
8777 -8.52197 -5.68811
8779 -4.96253 -4.53334
8780 -7.40300 -1.13920
8782 -8.60603 -4.15744
8783 -9.96343 -4.68558
8784 -9.53208 -4.04252
8785 -9.53329 -3.70603
8786 -9.82410 -1.60021
8787 -10.59622 -3.65183
8788 -10.29529 -5.93797
8789 -9.62719 -1.34139
8790 -9.23505 -1.24638
8791 -6.77221 0.81720
8792 -8.22931 1.09573
8793 -7.82316 1.47065
8794 -9.00458 0.29844
8795 -7.84732 2.28281
8796 -11.08378 -6.48641
8797 -4.58725 -0.41759
8800 1.36985 -0.74266
8801 -5.28259 4.39127
8802 -4.76049 4.27266
8803 -5.21912 3.97295
8804 -4.93471 3.98862
8805 -4.65647 3.38972
8806 -7.61874 3.21852
8807 -0.95928 1.98130
8808 -5.86091 4.05225
8809 -4.60894 2.72245
8811 2.29637 2.54201
8812 2.21763 0.66573
8813 0.65750 2.72483
8814 1.44683 2.52616
8818 4.52123 -6.79099
8819 0.68782 -0.90758
8820 2.62352 0.09970
8821 -10.25210 -7.27619
8822 -3.65716 0.40676
8823 4.78013 -4.84659
8824 2.48045 -2.20488
8825 -7.51123 0.08375
8826 -6.67871 0.70996
8828 3.63292 1.28312
8829 -5.31968 1.29227
8830 -8.58418 -3.47261
8831 2.68745 -4.81290
8832 -6.59150 0.24498
8833 -5.50443 0.05295
8834 -6.36355 0.42564
8835 -5.23610 -0.07714
8836 -1.70094 -1.72682
8837 -4.97680 -1.39443
8838 -2.47733 -1.96795
8839 -7.04299 -1.26343
8840 -8.89720 -4.17225
8841 -9.14458 -4.08432
8843 0.85953 -1.97908
8844 -10.11096 -7.32632
8845 -5.44755 0.53675
8854 -2.21079 -4.03832
8858 4.46631 -2.19721
8859 2.90409 3.19190
8860 -1.30957 1.71172
11305 -3.44423 -7.25572
11477 -5.88754 0.60084
11693 -9.91987 7.50127
11813 -0.15355 3.55532
-99
W0640 H_23.52000_15.68000
11221 5.78065 -4.58621
11371 9.01533 -4.18737
11383 6.31825 2.64153
11390 7.11368 1.36513
11393 6.97519 -1.35375
11510 7.60684 -6.28440
11518 7.94102 -7.45162
11525 8.91891 2.24167
11538 8.73321 3.94228
11540 6.11389 -2.14115
11543 7.40210 -0.07397
11814 7.50857 4.93797
11816 5.49760 4.69326
11817 5.18978 -2.92853
11818 9.44302 5.90121
11820 6.97873 6.17127
11821 8.07173 5.73917
11822 7.82081 -1.90119
11823 5.55692 -0.95407
11824 4.18809 -3.95241
11826 8.79173 -2.63120
11828 5.83830 -6.28989
11830 4.65162 1.37806
11832 4.92162 -6.99184
11833 8.84727 0.08643
11837 -0.14665 -3.35889
11838 10.14754 -6.76270
11839 9.65194 4.96694
11840 4.42936 -6.49047
11842 9.91039 -4.35015
11843 0.03299 -5.93387
11845 9.54448 -0.10566
11846 10.43355 -7.25985
11849 9.52694 1.68317
11850 6.55898 0.55987
11852 4.44659 -2.59863
11853 3.15495 -0.64829
11856 -1.06761 -0.83773
11858 1.47965 5.78592
-99
X0640 H_23.52000_15.68000
11862 10.24482 0.67152
11863 9.39720 4.58345
11865 8.85964 3.29301
11866 6.98663 1.27662
11868 9.19548 -2.01955
11869 6.98536 5.96036
11871 8.89169 7.11827
