imageName longitude latitude altitude Omega Phi Kappa
A0619.JPG 101.01868145 14.51850848 184.24282766 20.04654750 -38.54169394 -60.63230655
D0619.JPG 101.01868180 14.51850762 184.24107839 -22.03804862 42.75807760 122.20436521
S0619.JPG 101.01868161 14.51850805 184.21996111 -0.10418065 3.21420561 -157.29452143
W0619.JPG 101.01868206 14.51850822 184.23914558 -40.38001554 -13.88672320 -160.95301905
X0619.JPG 101.01868119 14.51850788 184.24450766 43.35212275 18.33798429 15.06121983
A0620.JPG 101.01855657 14.51869905 184.23830156 20.69118130 -39.74344532 -59.93368858
D0620.JPG 101.01855693 14.51869819 184.23712632 -21.46887676 41.50330150 121.65944382
S0620.JPG 101.01855674 14.51869862 184.21569851 0.09542140 1.89901321 -157.20485282
W0620.JPG 101.01855718 14.51869880 184.23605714 -40.37788933 -14.94671791 -161.76220124
X0620.JPG 101.01855631 14.51869844 184.23911577 43.24349377 17.44227213 16.07756617
A0621.JPG 101.01843067 14.51888951 184.18244003 19.81565879 -39.12082215 -62.00250519
D0621.JPG 101.01843101 14.51888864 184.17976985 -20.30887891 43.02347395 120.58693715
S0621.JPG 101.01843083 14.51888908 184.15911179 0.58956592 3.02856165 -158.49637774
W0621.JPG 101.01843128 14.51888924 184.17865922 -40.00123048 -13.24968130 -162.01654306
X0621.JPG 101.01843039 14.51888891 184.18330088 44.21948105 17.37667755 14.28167649
A0622.JPG 101.01830586 14.51908096 184.09319659 20.89248815 -38.77216745 -60.09244231
D0622.JPG 101.01830622 14.51908011 184.09086041 -21.67290655 42.30381633 122.41674433
S0622.JPG 101.01830603 14.51908054 184.07003065 0.38782458 2.85163458 -156.97881875
W0622.JPG 101.01830648 14.51908071 184.08969687 -39.86974294 -14.36714801 -160.94661320
X0622.JPG 101.01830560 14.51908036 184.09410919 43.70255815 18.29104074 15.56489961
A0623.JPG 101.01818452 14.51927258 184.14871811 21.37367247 -39.09896240 -59.04134422
D0623.JPG 101.01818489 14.51927173 184.14710215 -22.18811627 41.50680004 122.91953168
S0623.JPG 101.01818470 14.51927215 184.12590048 0.17954916 2.25524927 -156.33042474
W0623.JPG 101.01818514 14.51927234 184.14600462 -40.02022364 -15.24081226 -160.83348220
X0623.JPG 101.01818427 14.51927197 184.14956219 43.23206615 18.29946531 16.49221880
A0624.JPG 101.01806455 14.51946542 184.09543457 22.83309729 -40.13030309 -56.73924831
D0624.JPG 101.01806494 14.51946457 184.09502843 -22.65927976 39.52803838 123.63138324
S0624.JPG 101.01806474 14.51946500 184.07320409 0.13914319 0.63599998 -155.07050390
W0624.JPG 101.01806517 14.51946519 184.09464026 -40.05303651 -17.29053861 -160.91985768
X0624.JPG 101.01806431 14.51946481 184.09556510 42.56058669 17.96495318 18.62193903
A0625.JPG 101.01794084 14.51965629 183.95901683 22.45543041 -38.98810911 -58.47979819
D0625.JPG 101.01794122 14.51965544 183.95625235 -21.80481431 41.28418159 123.44085763
S0625.JPG 101.01794102 14.51965587 183.93562855 0.89021365 2.19948188 -155.88355485
W0625.JPG 101.01794147 14.51965605 183.95604325 -39.20804636 -15.57135392 -160.51674273
X0625.JPG 101.01794060 14.51965568 183.95897630 43.83858853 18.56321800 16.87653689
A0626.JPG 101.01781622 14.51984705 184.04625881 21.89115445 -38.40458896 -58.89624802
D0626.JPG 101.01781660 14.51984620 184.04350712 -22.26313477 41.92908826 123.67339454
