imageName, cameraIndex, cameraName, X_opt, Y_opt, Z_opt, X_gps, Y_gps, Z_gps, X_acc, Y_acc, Z_acc, Omega, Phi, Kappa, X_uncertainty, Y_uncertainty, Z_uncertainty, Omega_uncertainty, Phi_uncertainty, Kappa_uncertainty, inlierProb
X0622.JPG, 4, Camera_43.0_6000x4000 (RGB)(5), 717499.870014, 1606095.946907, 184.094109, 717500.025671, 1606094.182086, 186.513300, 5.000000, 5.000000, 10.000000, 43.702558, 18.291041, 15.564900, 0.024903, 0.027121, 0.020257, 0.007809, 0.006651, 0.007504, 1.000000
A0623.JPG, 1, Camera_43.0_6000x4000 (RGB)(2), 717486.629112, 1606117.102561, 184.148718, 717486.567876, 1606115.261817, 186.603500, 5.000000, 5.000000, 10.000000, 21.373672, -39.098962, -59.041344, 0.025030, 0.026479, 0.020558, 0.010181, 0.006397, 0.006269, 1.000000
D0623.JPG, 2, Camera_43.0_6000x4000 (RGB)(3), 717486.670289, 1606117.008579, 184.147102, 717486.567876, 1606115.261817, 186.603500, 5.000000, 5.000000, 10.000000, -22.188116, 41.506800, 122.919532, 0.025030, 0.026479, 0.020558, 0.010602, 0.006178, 0.007304, 1.000000
S0623.JPG, 0, Camera_MID_28.0_6000x4000 (RGB)(1), 717486.648765, 1606117.055795, 184.125900, 717486.567876, 1606115.261817, 186.603500, 5.000000, 5.000000, 10.000000, 0.179549, 2.255249, -156.330425, 0.025030, 0.026479, 0.020558, 0.007203, 0.009597, 0.002209, 1.000000
W0623.JPG, 3, Camera_43.0_6000x4000 (RGB)(4), 717486.696429, 1606117.076263, 184.146005, 717486.567876, 1606115.261817, 186.603500, 5.000000, 5.000000, 10.000000, -40.020224, -15.240812, -160.833482, 0.025030, 0.026479, 0.020558, 0.007381, 0.007353, 0.006548, 1.000000
X0623.JPG, 4, Camera_43.0_6000x4000 (RGB)(5), 717486.602826, 1606117.035190, 184.149562, 717486.567876, 1606115.261817, 186.603500, 5.000000, 5.000000, 10.000000, 43.232066, 18.299465, 16.492219, 0.025030, 0.026479, 0.020558, 0.007711, 0.006681, 0.007300, 1.000000
A0624.JPG, 1, Camera_43.0_6000x4000 (RGB)(2), 717473.507186, 1606138.328019, 184.095435, 717473.594325, 1606136.446540, 186.512800, 5.000000, 5.000000, 10.000000, 22.833097, -40.130303, -56.739248, 0.025533, 0.026687, 0.020983, 0.010468, 0.006151, 0.006563, 1.000000
D0624.JPG, 2, Camera_43.0_6000x4000 (RGB)(3), 717473.550442, 1606138.234961, 184.095028, 717473.594325, 1606136.446540, 186.512800, 5.000000, 5.000000, 10.000000, -22.659280, 39.528038, 123.631383, 0.025533, 0.026687, 0.020983, 0.010609, 0.006125, 0.006678, 1.000000
S0624.JPG, 0, Camera_MID_28.0_6000x4000 (RGB)(1), 717473.528498, 1606138.281698, 184.073204, 717473.594325, 1606136.446540, 186.512800, 5.000000, 5.000000, 10.000000, 0.139143, 0.636000, -155.070504, 0.025533, 0.026687, 0.020983, 0.007077, 0.009789, 0.002148, 1.000000
W0624.JPG, 3, Camera_43.0_6000x4000 (RGB)(4), 717473.575113, 1606138.303202, 184.094640, 717473.594325, 1606136.446540, 186.512800, 5.000000, 5.000000, 10.000000, -40.053037, -17.290539, -160.919858, 0.025533, 0.026687, 0.020983, 0.007358, 0.007407, 0.006815, 1.000000
