LCP-19, 717551.83679713145829737186, 1606212.07950716000050306320, 5.14611431555616505307
LCP-20, 717708.14704555401112884283, 1606241.93700950709171593189, 7.35894116367107820054
LCP-24, 717477.92212453391402959824, 1606299.14511866262182593346, 4.17567156761985547320
LCP-25, 717604.72268662077840417624, 1606381.59608350787311792374, 3.69857290951302575266
LCP-29, 717400.04914555256254971027, 1606458.01806759787723422050, 4.25193709442996148340
LCP-30, 717523.86525642138440161943, 1606525.88680016342550516129, 5.90101259916076070766
GCP-02, 717428.89457596675492823124, 1606454.31285504763945937157, 3.48217356408715383864
GCP-05, 717609.16682432685047388077, 1606432.62760531622916460037, 5.67773822279250772738
GCP-07, 717504.48083256708923727274, 1606286.25970783876255154610, 3.91515177685826998299
GCP-09, 717616.25100546621251851320, 1606070.64397071581333875656, 5.90267682657484904496
GCP-10, 717745.27470535761676728725, 1606169.42127422383055090904, 9.91000726470167414561
